#{"env_id": "DeepmindLabNavMazeStatic01-v0", "t_start": 1567828698.9217143}
r,l,t
1.0,225,131.279901
3.0,225,255.818881
3.0,225,379.065061
2.0,225,502.552902
0.0,225,617.035214
3.0,225,740.453134
2.0,225,862.996733
2.0,225,985.22537
2.0,225,1097.945971
3.0,225,1221.289576
2.0,225,1342.64002
2.0,225,1464.872277
2.0,225,1576.581693
3.0,225,1698.482088
2.0,225,1820.287407
2.0,225,1942.816023
2.0,225,2054.707563
2.0,225,2175.210551
3.0,225,2296.557479
3.0,225,2418.314635
2.0,225,2530.822415
2.0,225,2651.67929
3.0,225,2772.074611
2.0,225,2892.808088
1.0,225,3005.268569
2.0,225,3126.121103
1.0,225,3248.013025
3.0,225,3368.533339
2.0,225,3480.631731
2.0,225,3601.32338
2.0,225,3722.143863
2.0,225,3843.889711
3.0,225,3964.034701
3.0,225,4075.846215
12.0,225,4196.583016
2.0,225,4317.597588
2.0,225,4439.277579
2.0,225,4551.650556
3.0,225,4672.711264
2.0,225,4793.286917
0.0,225,4914.874484
2.0,225,5026.669434
1.0,225,5146.914257
2.0,225,5266.84084
2.0,225,5386.576667
2.0,225,5498.632519
1.0,225,5618.979988
2.0,225,5740.393458
0.0,225,5860.293112
3.0,225,5971.604227
2.0,225,6092.047081
2.0,225,6214.440638
0.0,225,6334.374737
2.0,225,6445.234793
2.0,225,6565.78959
0.0,225,6686.199228
2.0,225,6807.759698
2.0,225,6919.660774
2.0,225,7040.206903
2.0,225,7160.763582
1.0,225,7280.312282
2.0,225,7392.360002
2.0,225,7512.360033
2.0,225,7632.486468
2.0,225,7752.12788
2.0,225,7871.871444
0.0,225,7982.750194
3.0,225,8103.42426
3.0,225,8223.262056
2.0,225,8342.897413
2.0,225,8453.805811
2.0,225,8573.791328
2.0,225,8694.270786
2.0,225,8814.110938
0.0,225,8924.333118
1.0,225,9044.228198
4.0,225,9164.08324
0.0,225,9284.324718
3.0,225,9395.790401
0.0,225,9515.298983
0.0,225,9634.678785
2.0,225,9753.561709
2.0,225,9864.005715
1.0,225,9983.759797
2.0,225,10103.012285
0.0,225,10222.425865
3.0,225,10332.629317
2.0,225,10452.432558
2.0,225,10571.553174
2.0,225,10692.041976
3.0,225,10803.037694
2.0,225,10923.108022
2.0,225,11042.710522
2.0,225,11162.979533
3.0,225,11273.786613
1.0,225,11393.280535
3.0,225,11513.243274
11.0,225,11633.602715
3.0,225,11753.677974
2.0,225,11864.933509
0.0,225,11985.393005
3.0,225,12105.073741
2.0,225,12225.764203
0.0,225,12336.716692
0.0,225,12456.858002
2.0,225,12577.130273
0.0,225,12696.953881
2.0,225,12808.04309
