#{"env_id": "DeepmindLabNavMazeStatic01-v0", "t_start": 1567828699.577938}
r,l,t
3.0,225,130.8294
3.0,225,255.001483
0.0,225,378.589453
1.0,225,502.038663
1.0,225,616.504011
0.0,225,739.903775
2.0,225,862.508739
0.0,225,984.599325
4.0,225,1097.350723
3.0,225,1220.700313
0.0,225,1342.102818
0.0,225,1464.065383
3.0,225,1576.074454
3.0,225,1698.006454
2.0,225,1819.89138
2.0,225,1942.309716
3.0,225,2053.951955
3.0,225,2174.690994
3.0,225,2296.040499
2.0,225,2417.87401
10.0,225,2530.412455
1.0,225,2651.177983
0.0,225,2771.617772
2.0,225,2892.320426
0.0,225,3004.856908
3.0,225,3125.673541
3.0,225,3247.5101
2.0,225,3368.017075
2.0,225,3479.70411
3.0,225,3600.867746
3.0,225,3721.577971
2.0,225,3843.177973
3.0,225,3963.533657
2.0,225,4075.345493
2.0,225,4196.075999
2.0,225,4317.081444
2.0,225,4438.77262
2.0,225,4551.170822
3.0,225,4672.213758
2.0,225,4792.791543
2.0,225,4914.389485
2.0,225,5026.195617
2.0,225,5146.4083
2.0,225,5266.356499
2.0,225,5386.112244
2.0,225,5498.138723
3.0,225,5618.469975
2.0,225,5739.889196
2.0,225,5859.810373
2.0,225,5971.091684
2.0,225,6091.615534
1.0,225,6213.987241
3.0,225,6333.926565
0.0,225,6444.697281
4.0,225,6565.329587
3.0,225,6685.69586
2.0,225,6807.251117
0.0,225,6919.168734
2.0,225,7039.707998
2.0,225,7160.282905
2.0,225,7279.777683
2.0,225,7391.853268
0.0,225,7511.652168
2.0,225,7631.909934
2.0,225,7751.714373
2.0,225,7871.38658
2.0,225,7982.330251
2.0,225,8102.901488
10.0,225,8222.874181
2.0,225,8342.233569
2.0,225,8453.281554
2.0,225,8573.247339
0.0,225,8693.772197
2.0,225,8813.618196
3.0,225,8923.913567
2.0,225,9043.73663
3.0,225,9163.693228
2.0,225,9283.829517
3.0,225,9395.370591
12.0,225,9514.75218
1.0,225,9634.113791
1.0,225,9753.05899
0.0,225,9863.446291
3.0,225,9983.252771
2.0,225,10102.44012
1.0,225,10221.92853
2.0,225,10332.075863
2.0,225,10451.913747
2.0,225,10571.069908
0.0,225,10691.528725
2.0,225,10802.594334
0.0,225,10922.406304
2.0,225,11042.178762
2.0,225,11162.381027
0.0,225,11272.944376
0.0,225,11392.7528
2.0,225,11512.722638
2.0,225,11633.084343
1.0,225,11753.139815
2.0,225,11864.424961
3.0,225,11984.905589
2.0,225,12104.553093
2.0,225,12225.256651
0.0,225,12336.289085
2.0,225,12456.403795
2.0,225,12576.663208
2.0,225,12696.452756
3.0,225,12807.561961
2.0,225,12927.192273
0.0,225,13046.815441
1.0,225,13166.648436
2.0,225,13278.052842
0.0,225,13398.2031
2.0,225,13518.193797
3.0,225,13638.134703
0.0,225,13749.691525
2.0,225,13869.827789
2.0,225,13990.604159
2.0,225,14110.445189
2.0,225,14221.876293
2.0,225,14341.92458
0.0,225,14461.444566
0.0,225,14581.503968
3.0,225,14692.663756
2.0,225,14812.983287
2.0,225,14932.223083
2.0,225,15051.93735
2.0,225,15162.97315
2.0,225,15282.670138
3.0,225,15402.922092
1.0,225,15522.458812
0.0,225,15641.678946
3.0,225,15752.333382
0.0,225,15873.525804
0.0,225,15994.153723
2.0,225,16112.864359
2.0,225,16223.156203
3.0,225,16342.460054
2.0,225,16462.575156
3.0,225,16584.990622
2.0,225,16695.597377
0.0,225,16815.646323
2.0,225,16937.122188
0.0,225,17056.558351
2.0,225,17168.816878
2.0,225,17288.943972
2.0,225,17408.685761
2.0,225,17527.87235
0.0,225,17638.737563
3.0,225,17758.683728
0.0,225,17879.226964
3.0,225,17999.071607
2.0,225,18109.589304
2.0,225,18229.645491
2.0,225,18349.791683
3.0,225,18470.656814
2.0,225,18581.638835
10.0,225,18702.228969
2.0,225,18822.92427
3.0,225,18943.0833
2.0,225,19064.45641
2.0,225,19175.320793
2.0,225,19295.447794
2.0,225,19415.413135
3.0,225,19535.221985
2.0,225,19646.899998
2.0,225,19766.553467
0.0,225,19886.498246
0.0,225,20006.099344
2.0,225,20116.406744
0.0,225,20237.667235
11.0,225,20357.097079
1.0,225,20477.253373
0.0,225,20588.159348
0.0,225,20708.308624
3.0,225,20828.548029
0.0,225,20948.554835
3.0,225,21060.185848
2.0,225,21180.647298
3.0,225,21302.61028
2.0,225,21423.565847
3.0,225,21534.799433
0.0,225,21655.502697
2.0,225,21776.158322
0.0,225,21897.24367
3.0,225,22007.971306
3.0,225,22128.482508
2.0,225,22248.403523
1.0,225,22369.569779
3.0,225,22481.201723
2.0,225,22601.618556
2.0,225,22722.249111
3.0,225,22842.452995
2.0,225,22962.81498
2.0,225,23074.763062
3.0,225,23195.150907
2.0,225,23316.186869
0.0,225,23436.857397
0.0,225,23549.406989
0.0,225,23670.375105
2.0,225,23792.631651
2.0,225,23913.73295
2.0,225,24024.645461
3.0,225,24145.015785
2.0,225,24264.27951
3.0,225,24386.875863
3.0,225,24498.104603
1.0,225,24619.813
2.0,225,24739.541276
0.0,225,24860.450315
2.0,225,24972.919107
0.0,225,25094.650264
2.0,225,25214.296988
0.0,225,25334.264406
4.0,225,25445.350933
0.0,225,25566.79097
0.0,225,25688.991924
4.0,225,25809.577938
0.0,225,25921.257683
3.0,225,26041.197999
2.0,225,26162.092077
2.0,225,26284.512903
0.0,225,26395.891971
2.0,225,26515.30835
0.0,225,26634.520883
0.0,225,26755.08501
3.0,225,26876.820158
0.0,225,26987.947215
0.0,225,27108.812623
0.0,225,27229.195611
2.0,225,27350.35029
0.0,225,27462.845288
2.0,225,27584.556919
2.0,225,27705.35443
3.0,225,27826.127128
2.0,225,27938.249274
0.0,225,28059.587205
2.0,225,28180.938091
10.0,225,28301.241596
2.0,225,28412.855397
3.0,225,28533.052286
2.0,225,28653.767485
0.0,225,28774.326531
2.0,225,28885.518152
2.0,225,29005.451877
0.0,225,29125.798687
0.0,225,29247.436182
2.0,225,29359.817073
2.0,225,29481.455988
3.0,225,29602.437565
0.0,225,29723.475631
2.0,225,29835.671667
3.0,225,29957.374644
2.0,225,30078.827753
0.0,225,30199.450417
0.0,225,30310.973743
0.0,225,30431.663101
3.0,225,30552.896194
3.0,225,30674.344898
0.0,225,30795.193452
0.0,225,30905.667464
4.0,225,31026.480824
0.0,225,31146.711226
2.0,225,31266.529581
0.0,225,31378.482784
3.0,225,31498.872352
1.0,225,31620.35699
2.0,225,31741.245648
3.0,225,31853.110026
2.0,225,31974.336276
2.0,225,32096.65358
0.0,225,32218.042318
0.0,225,32330.297466
0.0,225,32452.393804
2.0,225,32573.067667
0.0,225,32694.450841
2.0,225,32808.575689
2.0,225,32930.135889
2.0,225,33051.5516
2.0,225,33172.881291
3.0,225,33284.980441
2.0,225,33408.131227
0.0,225,33529.387835
2.0,225,33649.987775
2.0,225,33761.057458
0.0,225,33881.565412
2.0,225,34003.664107
2.0,225,34125.137163
1.0,225,34246.17907
3.0,225,34357.632682
3.0,225,34479.499895
2.0,225,34600.888406
2.0,225,34723.629886
0.0,225,34837.373797
3.0,225,34958.66536
2.0,225,35080.137286
2.0,225,35202.871564
3.0,225,35316.921251
0.0,225,35438.271168
2.0,225,35560.275875
2.0,225,35681.750335
2.0,225,35794.403872
3.0,225,35916.359367
2.0,225,36038.28657
2.0,225,36159.330531
3.0,225,36271.335173
1.0,225,36393.150852
0.0,225,36515.121265
2.0,225,36636.732715
0.0,225,36748.355833
0.0,225,36869.271569
2.0,225,36990.866771
0.0,225,37113.817659
0.0,225,37228.285784
3.0,225,37349.387935
2.0,225,37470.635289
0.0,225,37591.868824
0.0,225,37704.640032
2.0,225,37826.113027
2.0,225,37946.930271
2.0,225,38067.8252
0.0,225,38188.978762
2.0,225,38302.11835
2.0,225,38422.917714
2.0,225,38543.058491
2.0,225,38663.682819
2.0,225,38775.542684
3.0,225,38896.821055
2.0,225,39018.011879
2.0,225,39139.066039
3.0,225,39250.919856
2.0,225,39371.857363
2.0,225,39492.190655
0.0,225,39612.65148
1.0,225,39723.583747
12.0,225,39843.428429
3.0,225,39963.352833
1.0,225,40084.274837
1.0,225,40194.441724
3.0,225,40314.140341
2.0,225,40433.490496
2.0,225,40553.799863
2.0,225,40665.558992
0.0,225,40784.839615
1.0,225,40904.959003
3.0,225,41024.906645
0.0,225,41136.290549
2.0,225,41255.390675
3.0,225,41375.151802
3.0,225,41495.494055
2.0,225,41605.829514
2.0,225,41726.978803
2.0,225,41847.61693
2.0,225,41968.639852
0.0,225,42088.617257
2.0,225,42192.679347
0.0,225,42306.922904
3.0,225,42420.387639
2.0,225,42534.61816
0.0,225,42638.968044
2.0,225,42753.441673
10.0,225,42867.341621
2.0,225,42980.887213
0.0,225,43085.389513
2.0,225,43198.727507
0.0,225,43311.940532
2.0,225,43425.773512
2.0,225,43530.351657
3.0,225,43644.994479
3.0,225,43758.170116
2.0,225,43871.555564
1.0,225,43975.969437
2.0,225,44090.061102
3.0,225,44205.299806
3.0,225,44318.04912
0.0,225,44422.251707
3.0,225,44535.795474
3.0,225,44649.925275
0.0,225,44763.788098
2.0,225,44868.456352
3.0,225,44981.63032
0.0,225,45094.996823
2.0,225,45207.888545
2.0,225,45306.367195
3.0,225,45414.543586
3.0,225,45523.014964
2.0,225,45630.648763
2.0,225,45738.635635
0.0,225,45836.969903
2.0,225,45945.557291
0.0,225,46055.151417
1.0,225,46163.175655
2.0,225,46261.455612
2.0,225,46369.031621
3.0,225,46476.130548
0.0,225,46583.911505
0.0,225,46683.726184
2.0,225,46790.994926
12.0,225,46898.440054
0.0,225,47005.951363
2.0,225,47103.84494
2.0,225,47212.129109
3.0,225,47320.714864
2.0,225,47428.419605
1.0,225,47526.563864
1.0,225,47633.735165
1.0,225,47740.751378
2.0,225,47848.32166
12.0,225,47946.98857
0.0,225,48053.900821
2.0,225,48160.718343
0.0,225,48266.850453
2.0,225,48364.338235
2.0,225,48470.88658
2.0,225,48577.499606
0.0,225,48684.097188
2.0,225,48790.036166
0.0,225,48887.562943
0.0,225,48994.024654
3.0,225,49100.184098
0.0,225,49207.309867
2.0,225,49304.39945
2.0,225,49411.068913
2.0,225,49517.557355
2.0,225,49624.378861
2.0,225,49721.566286
0.0,225,49828.155857
3.0,225,49934.201527
3.0,225,50041.359132
2.0,225,50139.072865
2.0,225,50245.752237
1.0,225,50351.956203
0.0,225,50458.733685
1.0,225,50556.183773
2.0,225,50663.216749
2.0,225,50771.116658
3.0,225,50877.929325
2.0,225,50975.696744
2.0,225,51082.612893
3.0,225,51190.215102
0.0,225,51298.025169
2.0,225,51396.435165
3.0,225,51503.659929
0.0,225,51610.857859
2.0,225,51718.211141
2.0,225,51816.634076
0.0,225,51923.631584
2.0,225,52030.744035
3.0,225,52137.492655
2.0,225,52243.881636
3.0,225,52341.899443
2.0,225,52449.666247
0.0,225,52556.533586
3.0,225,52664.035944
3.0,225,52761.13665
3.0,225,52868.118737
2.0,225,52975.422411
3.0,225,53082.704372
2.0,225,53179.835126
2.0,225,53285.92547
0.0,225,53392.464771
1.0,225,53499.143299
3.0,225,53597.238781
2.0,225,53703.791172
10.0,225,53809.264408
0.0,225,53915.442252
1.0,225,54011.863048
3.0,225,54118.560785
1.0,225,54225.575873
0.0,225,54332.105574
2.0,225,54429.389613
0.0,225,54536.741243
0.0,225,54643.276778
0.0,225,54750.611187
3.0,225,54848.343803
2.0,225,54955.450634
2.0,225,55062.253757
0.0,225,55169.349351
2.0,225,55266.805537
2.0,225,55374.417769
2.0,225,55481.598188
3.0,225,55588.759859
2.0,225,55695.519741
0.0,225,55792.887746
1.0,225,55899.327417
1.0,225,56006.622588
2.0,225,56113.590622
0.0,225,56210.42693
0.0,225,56317.040418
2.0,225,56423.4375
2.0,225,56530.610044
2.0,225,56628.861235
2.0,225,56735.516797
2.0,225,56841.751039
2.0,225,56948.069603
2.0,225,57045.430454
0.0,225,57151.504944
2.0,225,57257.908716
3.0,225,57364.443583
0.0,225,57461.340667
3.0,225,57567.181742
3.0,225,57673.194558
2.0,225,57779.607733
2.0,225,57877.393562
0.0,225,57984.559656
2.0,225,58092.091427
2.0,225,58199.473626
3.0,225,58296.942888
2.0,225,58403.724185
2.0,225,58510.706054
2.0,225,58617.685987
2.0,225,58715.609918
2.0,225,58822.644095
3.0,225,58929.069777
2.0,225,59036.245514
3.0,225,59142.793664
2.0,225,59239.616147
3.0,225,59346.67107
0.0,225,59452.961968
3.0,225,59559.441758
2.0,225,59656.759365
0.0,225,59763.082954
0.0,225,59869.582707
3.0,225,59976.27027
0.0,225,60073.83455
3.0,225,60180.030038
2.0,225,60285.875218
3.0,225,60392.050152
3.0,225,60489.301842
3.0,225,60595.675066
3.0,225,60702.04633
0.0,225,60810.269981
0.0,225,60908.073038
0.0,225,61014.505001
3.0,225,61121.198359
3.0,225,61228.28034
3.0,225,61326.42899
0.0,225,61433.268572
3.0,225,61539.558105
2.0,225,61645.640394
3.0,225,61742.840915
2.0,225,61849.701467
0.0,225,61956.433365
3.0,225,62062.65721
2.0,225,62168.979947
1.0,225,62266.387373
3.0,225,62372.949335
13.0,225,62479.417338
2.0,225,62586.317163
2.0,225,62683.738464
3.0,225,62790.335799
1.0,225,62897.932344
3.0,225,63005.048301
0.0,225,63102.81565
2.0,225,63209.762751
