#{"env_id": "DeepmindLabNavMazeStatic01-v0", "t_start": 1567828699.167188}
r,l,t
3.0,225,131.103754
10.0,225,255.669811
1.0,225,378.903268
2.0,225,502.371707
3.0,225,616.849835
10.0,225,740.332839
3.0,225,862.827377
2.0,225,985.086367
3.0,225,1097.622431
2.0,225,1221.211068
1.0,225,1342.589461
1.0,225,1464.515359
2.0,225,1576.378834
0.0,225,1698.441031
3.0,225,1820.128082
3.0,225,1942.461737
0.0,225,2054.470189
2.0,225,2175.01
2.0,225,2296.444487
2.0,225,2418.287668
2.0,225,2530.796263
2.0,225,2651.504468
1.0,225,2771.885162
2.0,225,2892.66209
3.0,225,3005.123721
2.0,225,3125.998599
2.0,225,3247.84323
2.0,225,3368.344079
2.0,225,3480.304683
3.0,225,3601.189533
2.0,225,3721.861364
2.0,225,3843.495593
1.0,225,3963.855733
2.0,225,4075.672252
3.0,225,4196.393341
2.0,225,4317.427224
2.0,225,4439.097933
2.0,225,4551.500788
2.0,225,4672.523656
2.0,225,4793.13863
3.0,225,4914.691947
2.0,225,5026.500861
2.0,225,5146.723605
1.0,225,5266.670762
2.0,225,5386.403601
1.0,225,5498.45669
2.0,225,5618.79271
2.0,225,5740.20117
12.0,225,5860.089664
3.0,225,5971.422955
2.0,225,6092.036697
3.0,225,6214.272171
0.0,225,6334.183607
2.0,225,6445.11
2.0,225,6565.640033
3.0,225,6686.020432
1.0,225,6807.602914
2.0,225,6919.508614
3.0,225,7040.029086
2.0,225,7160.694793
3.0,225,7280.057145
2.0,225,7392.178447
2.0,225,7511.839337
1.0,225,7632.137268
2.0,225,7751.986933
3.0,225,7871.680025
0.0,225,7982.555229
0.0,225,8103.285499
2.0,225,8223.089577
3.0,225,8342.783594
10.0,225,8453.626013
2.0,225,8573.558287
2.0,225,8694.115813
2.0,225,8813.931167
3.0,225,8924.152306
0.0,225,9044.048507
2.0,225,9164.044427
2.0,225,9284.145378
1.0,225,9395.667354
3.0,225,9515.070671
3.0,225,9634.432653
0.0,225,9753.379776
2.0,225,9864.04621
3.0,225,9983.572656
3.0,225,10102.750386
3.0,225,10222.255336
0.0,225,10332.420436
3.0,225,10452.219769
10.0,225,10571.385209
2.0,225,10691.866014
3.0,225,10802.97022
2.0,225,10922.862544
3.0,225,11042.506063
2.0,225,11162.682192
2.0,225,11273.512066
3.0,225,11392.914337
3.0,225,11513.054083
0.0,225,11633.411877
2.0,225,11753.628338
2.0,225,11864.741927
3.0,225,11985.208205
0.0,225,12104.877038
2.0,225,12225.582182
3.0,225,12336.601099
2.0,225,12456.637549
1.0,225,12576.950347
3.0,225,12696.772733
3.0,225,12807.9571
3.0,225,12927.508402
2.0,225,13047.146468
0.0,225,13166.977528
2.0,225,13278.371916
0.0,225,13398.423172
0.0,225,13518.60514
2.0,225,13638.691272
1.0,225,13749.93285
2.0,225,13870.272192
2.0,225,13990.925308
0.0,225,14110.880348
3.0,225,14222.191538
2.0,225,14342.280025
2.0,225,14461.767238
3.0,225,14581.824266
2.0,225,14692.995255
2.0,225,14813.057296
2.0,225,14932.48001
2.0,225,15052.260259
3.0,225,15163.287988
2.0,225,15282.991555
2.0,225,15403.264519
2.0,225,15522.769416
0.0,225,15642.011336
2.0,225,15752.60497
3.0,225,15874.008205
3.0,225,15994.430716
12.0,225,16113.422805
2.0,225,16223.426587
1.0,225,16342.698076
1.0,225,16462.893897
3.0,225,16585.644251
2.0,225,16695.936829
2.0,225,16815.935243
1.0,225,16937.444755
1.0,225,17056.948697
0.0,225,17169.098327
0.0,225,17289.192188
2.0,225,17409.08
2.0,225,17528.237722
3.0,225,17639.20168
1.0,225,17758.975688
2.0,225,17879.453119
0.0,225,17999.353688
2.0,225,18109.903194
0.0,225,18229.962438
0.0,225,18350.117666
3.0,225,18470.919547
2.0,225,18581.961813
2.0,225,18702.545872
0.0,225,18823.305516
0.0,225,18943.675949
2.0,225,19064.781034
3.0,225,19175.640387
0.0,225,19295.77179
2.0,225,19415.868432
2.0,225,19535.534126
3.0,225,19647.238194
2.0,225,19766.90896
3.0,225,19886.845945
2.0,225,20006.48793
0.0,225,20116.736383
10.0,225,20238.070419
0.0,225,20357.622939
3.0,225,20477.569255
2.0,225,20588.484778
2.0,225,20708.528427
0.0,225,20828.880425
1.0,225,20948.869114
3.0,225,21060.505981
3.0,225,21181.035789
2.0,225,21302.789226
2.0,225,21423.954464
3.0,225,21535.097081
3.0,225,21655.878097
0.0,225,21776.681684
0.0,225,21897.523834
3.0,225,22008.32082
4.0,225,22128.958414
3.0,225,22248.77978
2.0,225,22369.9762
0.0,225,22481.525251
3.0,225,22601.92502
3.0,225,22722.667582
0.0,225,22842.727781
3.0,225,22963.125362
2.0,225,23075.200468
2.0,225,23195.401117
2.0,225,23316.503788
3.0,225,23437.261012
3.0,225,23549.692601
2.0,225,23670.670442
3.0,225,23793.238886
0.0,225,23914.07744
2.0,225,24025.082575
1.0,225,24145.400142
0.0,225,24264.805563
2.0,225,24387.185159
0.0,225,24498.753104
2.0,225,24620.064563
1.0,225,24739.983795
1.0,225,24860.786505
2.0,225,24973.236818
1.0,225,25095.061319
3.0,225,25214.630527
1.0,225,25334.554111
2.0,225,25445.638989
0.0,225,25566.935675
2.0,225,25689.364894
3.0,225,25810.036422
3.0,225,25921.593891
10.0,225,26041.555734
3.0,225,26162.413434
2.0,225,26284.831629
3.0,225,26396.285708
3.0,225,26515.613036
3.0,225,26634.972504
0.0,225,26755.492298
3.0,225,26877.075108
0.0,225,26988.260115
3.0,225,27109.21262
0.0,225,27229.516215
0.0,225,27350.912538
0.0,225,27463.214147
3.0,225,27584.866642
1.0,225,27705.69856
2.0,225,27826.401077
1.0,225,27938.616706
2.0,225,28060.05633
0.0,225,28181.251983
1.0,225,28301.783877
0.0,225,28413.167868
3.0,225,28533.424311
2.0,225,28653.942223
2.0,225,28774.844595
3.0,225,28885.636164
0.0,225,29005.669024
0.0,225,29126.135586
3.0,225,29247.770014
2.0,225,29360.017968
0.0,225,29481.773543
2.0,225,29602.767891
0.0,225,29723.817152
3.0,225,29835.944208
0.0,225,29957.83889
0.0,225,30079.152318
0.0,225,30199.767667
2.0,225,30311.29756
0.0,225,30431.999146
2.0,225,30553.239105
2.0,225,30674.830184
2.0,225,30795.508966
3.0,225,30906.176636
0.0,225,31026.999179
2.0,225,31147.166555
0.0,225,31266.899264
2.0,225,31378.794885
10.0,225,31499.193806
13.0,225,31620.675987
2.0,225,31741.564922
0.0,225,31853.364085
3.0,225,31974.871625
3.0,225,32097.005333
2.0,225,32218.43558
2.0,225,32330.683897
0.0,225,32452.73266
0.0,225,32573.401335
2.0,225,32694.892467
2.0,225,32808.88741
0.0,225,32930.423431
3.0,225,33051.961865
1.0,225,33173.188777
2.0,225,33285.499681
3.0,225,33408.536475
3.0,225,33529.7761
0.0,225,33650.407655
3.0,225,33761.509024
2.0,225,33881.876706
2.0,225,34003.980757
0.0,225,34125.70644
3.0,225,34246.497251
3.0,225,34358.053847
2.0,225,34479.82871
0.0,225,34601.000135
2.0,225,34723.96416
2.0,225,34837.577753
3.0,225,34959.09234
3.0,225,35080.628139
0.0,225,35203.149245
0.0,225,35317.237771
2.0,225,35438.625913
2.0,225,35560.62967
2.0,225,35682.235058
3.0,225,35794.708539
3.0,225,35916.696724
2.0,225,36038.597429
2.0,225,36159.64708
2.0,225,36271.663315
2.0,225,36393.400846
0.0,225,36515.462331
3.0,225,36637.333434
5.0,225,36748.671705
1.0,225,36869.740114
0.0,225,36991.183073
2.0,225,37114.235793
2.0,225,37228.632725
3.0,225,37349.688412
2.0,225,37470.913654
2.0,225,37592.191471
0.0,225,37704.894901
0.0,225,37826.418092
2.0,225,37947.168392
3.0,225,38068.058061
0.0,225,38189.300822
2.0,225,38302.816108
1.0,225,38423.252369
0.0,225,38543.385345
3.0,225,38664.182667
3.0,225,38775.858718
0.0,225,38897.146588
2.0,225,39018.386349
0.0,225,39139.377684
2.0,225,39251.337744
12.0,225,39372.091651
0.0,225,39492.511175
2.0,225,39612.976625
0.0,225,39724.010906
3.0,225,39843.728333
3.0,225,39963.817832
3.0,225,40084.779391
2.0,225,40194.724185
0.0,225,40314.454505
0.0,225,40433.802395
1.0,225,40554.203881
2.0,225,40665.850531
2.0,225,40785.121559
4.0,225,40905.492961
4.0,225,41025.247315
3.0,225,41136.630238
