#{"env_id": "DeepmindLabNavMazeStatic01-v0", "t_start": 1567828699.0386317}
r,l,t
0.0,225,131.203863
0.0,225,255.654306
0.0,225,379.017783
1.0,225,502.462262
4.0,225,616.967874
0.0,225,740.392536
0.0,225,862.923076
1.0,225,985.165028
0.0,225,1097.702915
2.0,225,1221.267635
0.0,225,1342.646572
0.0,225,1464.786407
2.0,225,1576.480134
2.0,225,1698.426967
2.0,225,1820.212472
3.0,225,1942.694761
0.0,225,2054.584653
3.0,225,2175.108057
2.0,225,2296.47991
4.0,225,2418.228435
3.0,225,2530.73794
3.0,225,2651.600915
1.0,225,2771.978997
2.0,225,2892.729472
3.0,225,3005.207994
3.0,225,3126.058996
3.0,225,3247.935378
3.0,225,3368.450625
2.0,225,3480.359704
2.0,225,3601.317287
3.0,225,3721.818551
2.0,225,3843.612983
2.0,225,3963.950067
2.0,225,4075.755289
2.0,225,4196.498617
2.0,225,4317.508424
3.0,225,4439.19992
2.0,225,4551.589014
2.0,225,4672.629704
3.0,225,4793.204368
3.0,225,4914.822449
0.0,225,5026.590616
2.0,225,5146.842614
2.0,225,5266.766212
2.0,225,5386.480063
3.0,225,5498.540831
3.0,225,5618.902571
3.0,225,5740.272902
3.0,225,5860.198852
3.0,225,5971.535122
2.0,225,6092.098898
0.0,225,6214.342104
3.0,225,6334.286937
2.0,225,6445.193335
11.0,225,6565.767853
2.0,225,6686.112494
2.0,225,6807.672488
2.0,225,6919.655722
2.0,225,7040.123134
1.0,225,7160.864838
3.0,225,7280.328885
2.0,225,7392.259223
2.0,225,7512.243194
2.0,225,7632.307008
2.0,225,7752.050154
2.0,225,7871.778062
2.0,225,7982.662807
3.0,225,8103.344719
3.0,225,8223.234435
2.0,225,8342.710774
2.0,225,8453.721383
1.0,225,8573.71344
2.0,225,8694.193797
2.0,225,8814.036088
2.0,225,8924.23809
2.0,225,9044.15262
2.0,225,9164.124893
2.0,225,9284.240324
1.0,225,9395.746665
2.0,225,9515.248802
2.0,225,9634.591913
3.0,225,9753.501879
0.0,225,9864.225198
2.0,225,9983.685437
0.0,225,10102.915047
1.0,225,10222.349173
2.0,225,10332.446117
2.0,225,10452.462144
3.0,225,10571.473412
2.0,225,10691.974071
0.0,225,10802.989614
2.0,225,10922.978847
3.0,225,11042.616988
1.0,225,11162.749029
2.0,225,11273.648186
1.0,225,11393.238465
0.0,225,11513.152682
2.0,225,11633.506835
1.0,225,11753.5722
2.0,225,11864.844436
2.0,225,11985.293301
3.0,225,12104.973572
2.0,225,12225.673402
0.0,225,12336.670947
3.0,225,12456.788819
0.0,225,12577.040793
2.0,225,12696.871382
0.0,225,12807.98149
2.0,225,12927.620021
0.0,225,13047.237743
2.0,225,13167.065961
2.0,225,13278.471692
0.0,225,13398.69995
1.0,225,13518.687395
0.0,225,13638.680161
0.0,225,13750.155341
3.0,225,13870.322041
10.0,225,13991.023789
0.0,225,14110.816137
2.0,225,14222.285115
0.0,225,14342.308057
2.0,225,14461.866809
2.0,225,14581.919593
2.0,225,14693.107191
0.0,225,14813.377913
2.0,225,14932.757923
0.0,225,15052.350579
2.0,225,15163.401998
1.0,225,15283.091277
3.0,225,15403.352419
2.0,225,15522.867846
3.0,225,15642.158811
1.0,225,15752.695791
0.0,225,15873.981577
2.0,225,15994.613385
2.0,225,16113.46174
3.0,225,16223.522155
0.0,225,16342.793981
0.0,225,16462.982007
0.0,225,16585.505535
0.0,225,16696.121166
0.0,225,16816.213497
2.0,225,16937.557719
0.0,225,17057.273066
2.0,225,17169.169533
2.0,225,17289.297907
2.0,225,17409.335075
0.0,225,17528.563049
2.0,225,17639.297828
1.0,225,17759.064765
3.0,225,17879.577832
2.0,225,17999.678493
2.0,225,18110.006377
0.0,225,18230.057039
0.0,225,18350.226667
0.0,225,18471.0001
3.0,225,18582.049718
3.0,225,18702.654755
2.0,225,18823.287315
2.0,225,18943.823877
2.0,225,19064.869932
0.0,225,19175.75724
2.0,225,19295.753947
2.0,225,19415.798044
0.0,225,19535.645802
2.0,225,19647.341701
2.0,225,19766.926938
3.0,225,19886.930657
3.0,225,20006.476799
2.0,225,20116.850827
3.0,225,20238.222185
2.0,225,20357.796619
2.0,225,20477.67774
2.0,225,20588.570857
2.0,225,20708.766627
0.0,225,20828.988525
0.0,225,20948.971903
2.0,225,21060.621285
0.0,225,21181.163646
1.0,225,21303.153477
0.0,225,21424.034836
3.0,225,21535.318507
2.0,225,21656.059467
3.0,225,21776.771653
2.0,225,21897.849683
2.0,225,22008.394701
2.0,225,22129.015489
3.0,225,22248.958958
3.0,225,22369.91812
1.0,225,22481.651534
3.0,225,22601.988462
3.0,225,22722.797566
3.0,225,22842.929131
3.0,225,22963.252543
0.0,225,23075.167599
2.0,225,23195.504882
1.0,225,23316.578562
2.0,225,23437.396695
0.0,225,23549.786581
2.0,225,23670.779485
3.0,225,23793.085281
0.0,225,23914.135726
0.0,225,24025.092786
2.0,225,24145.459366
2.0,225,24264.912913
2.0,225,24387.278503
2.0,225,24498.968971
2.0,225,24620.224175
3.0,225,24739.929006
2.0,225,24860.869366
0.0,225,24973.322765
0.0,225,25095.145351
0.0,225,25214.719584
3.0,225,25334.732915
2.0,225,25445.496406
2.0,225,25567.102783
2.0,225,25689.479095
0.0,225,25810.167222
0.0,225,25921.662414
1.0,225,26041.63955
0.0,225,26162.521513
2.0,225,26285.051407
0.0,225,26396.282303
3.0,225,26515.674364
0.0,225,26635.002805
2.0,225,26755.5232
3.0,225,26877.178651
0.0,225,26988.361933
2.0,225,27109.136879
0.0,225,27229.600285
2.0,225,27350.99465
3.0,225,27463.412342
2.0,225,27584.984094
0.0,225,27705.827197
0.0,225,27826.455471
2.0,225,27938.601483
3.0,225,28060.084594
1.0,225,28181.335918
0.0,225,28301.987197
0.0,225,28413.293793
3.0,225,28533.601993
0.0,225,28654.154754
2.0,225,28774.795894
1.0,225,28885.834302
0.0,225,29005.913971
3.0,225,29126.241753
2.0,225,29247.782199
0.0,225,29360.403742
0.0,225,29481.822109
0.0,225,29602.858804
2.0,225,29723.914204
2.0,225,29836.070561
0.0,225,29958.10901
2.0,225,30079.261222
2.0,225,30199.86056
2.0,225,30311.383762
0.0,225,30432.09166
3.0,225,30553.340699
3.0,225,30674.842851
0.0,225,30795.652856
0.0,225,30906.254785
2.0,225,31027.104306
13.0,225,31147.309895
3.0,225,31267.177383
2.0,225,31378.901535
3.0,225,31499.300087
2.0,225,31620.762665
2.0,225,31741.808054
0.0,225,31853.51856
0.0,225,31974.968489
0.0,225,32097.119271
0.0,225,32218.372476
3.0,225,32330.764213
3.0,225,32452.716285
2.0,225,32573.475356
3.0,225,32694.95557
2.0,225,32809.080336
3.0,225,32930.526191
2.0,225,33052.394427
3.0,225,33173.353011
4.0,225,33285.604035
3.0,225,33408.492722
2.0,225,33529.865466
2.0,225,33650.457377
2.0,225,33761.445684
3.0,225,33881.974204
2.0,225,34004.101195
3.0,225,34125.832577
2.0,225,34246.615647
2.0,225,34357.95831
2.0,225,34479.923192
2.0,225,34601.255017
3.0,225,34724.036327
0.0,225,34837.73458
2.0,225,34959.059341
0.0,225,35080.551337
0.0,225,35203.262609
1.0,225,35317.335469
3.0,225,35438.787001
2.0,225,35560.721961
