opt_feat_var,recent_best_ext_ret,vpredmean,retmean,retstd,n_updates,opt_approxkl,advmean,tps,rew_mean,opt_aux,opt_ent,vpredstd,opt_clipfrac,advstd,opt_tot,opt_vf,opt_dyn_loss,ev,ups,opt_pg,rank,total_secs,eplen,epcount,eprew_recent,eprew,best_ext_ret,tcount
5.368156,,2.9527051,2.9166138,0.43171033,17,4.660161e-14,-0.036091305,237.83227800224543,2.6089506,0.69408137,1.6804464,0.38273463,0.0,0.29986507,0.020028327,0.05132225,2.674937,0.5175337791442871,0.014516130249160488,-0.02961348,0,1185.7664177417755,225.0,1152.0,2.5234375,2.44,22.0,259200.0
5.750062,12.0,2.7677312,2.7781324,0.41422495,18,4.4525364e-14,0.010401543,238.3399080584318,3.0076513,0.77352935,1.6593269,0.34400883,0.0,0.27995452,-0.021527544,0.04442074,3.1559978,0.5432248711585999,0.01454711352895702,-0.06428896,0,1254.5085773468018,225.0,1280.0,1.9765625,2.03,22.0,288000.0
5.6634884,,2.8689718,2.8524852,0.42091802,19,5.0391982e-14,-0.016486282,242.13408635822344,3.0020328,0.6618764,1.6624147,0.35984156,0.0,0.26215464,0.08991865,0.02834789,2.6888256,0.6120997667312622,0.014778691794325161,0.063233174,0,1322.1735651493073,225.0,1280.0,1.9765625,2.03,22.0,288000.0
5.2455873,13.0,2.832502,2.8223186,0.37885946,20,5.0377237e-14,-0.010183243,239.88713634812507,3.1892767,0.6514999,1.6552591,0.34520608,0.0,0.2788602,0.1343531,0.025439784,2.8419325,0.45822757482528687,0.014641548849372868,0.11056858,0,1390.472350358963,225.0,1408.0,1.765625,1.68,22.0,316800.0
8.502884,,2.8833718,2.943365,0.4455295,21,5.5777865e-14,0.059993215,241.76727175743292,3.843791,0.5994152,1.5796458,0.34652698,0.0,0.27944508,-0.07539733,0.048005316,4.05958,0.6065948903560638,0.01475630320785113,-0.121823,0,1458.240000963211,225.0,1408.0,1.765625,1.68,22.0,316800.0
7.149273,14.0,2.7515974,2.7872617,0.37633312,22,5.6620724e-14,0.035664428,240.75826318903657,3.848633,0.640352,1.6221117,0.2999193,0.0,0.26991263,0.10759736,0.039957896,3.8151796,0.4855992794036865,0.01469471821222147,0.06926157,0,1526.2916631698608,225.0,1536.0,2.4140625,2.44,22.0,345600.0
8.936513,12.0,2.8805904,2.9072676,0.38176066,23,6.0645716e-14,0.02667715,242.17078560772856,4.165082,0.66554844,1.5744911,0.32384962,0.0,0.26506513,0.08365767,0.034293782,4.1298594,0.5179158449172974,0.014780931738752964,0.050938375,0,1593.9463968276978,225.0,1664.0,1.9140625,1.86,22.0,374400.0
7.2006598,,2.885338,2.9167092,0.39583227,24,6.41234e-14,0.031371024,241.64418492783486,4.135256,0.59483075,1.5905241,0.32065237,0.0,0.24580967,0.14130116,0.030999815,3.8652031,0.6143657565116882,0.014748790583974295,0.111891866,0,1661.7485663890839,225.0,1664.0,1.9140625,1.86,22.0,374400.0
8.535364,13.0,2.9206588,2.914737,0.35170633,25,6.8214965e-14,-0.0059218165,240.32512885819543,4.161248,0.6376054,1.5400183,0.3150505,0.0,0.2497328,0.08095568,0.031477287,4.3805275,0.4958139657974243,0.014668281790661342,0.05101841,0,1729.922877073288,225.0,1792.0,2.0078125,1.99,22.0,403200.0
8.825697,,2.8484082,2.878839,0.34590322,26,6.537609e-14,0.03043063,240.30213095272023,4.491103,0.5357436,1.5160534,0.2827552,0.0,0.23310472,-0.030251034,0.03435719,4.6644,0.5458566546440125,0.01466687810990724,-0.06309217,0,1798.1037123203278,225.0,1792.0,2.0078125,1.99,22.0,403200.0
