#{"t_start": 1568105719.0919697, "env_id": "DeepmindLabNavMazeStatic01-v0"}
r,l,t
2.0,225,102.715286
2.0,225,198.915745
3.0,225,294.873662
0.0,225,391.304726
0.0,225,478.375005
4.0,225,574.410482
1.0,225,670.070814
2.0,225,765.315689
2.0,225,852.155182
1.0,225,947.205451
3.0,225,1041.654281
10.0,225,1136.184897
2.0,225,1221.608288
3.0,225,1315.673589
3.0,225,1410.352852
2.0,225,1504.325109
2.0,225,1589.792964
2.0,225,1684.071487
3.0,225,1778.13027
2.0,225,1871.734278
2.0,225,1956.945994
1.0,225,2050.659091
2.0,225,2144.128329
0.0,225,2238.191103
4.0,225,2323.223996
4.0,225,2417.107746
3.0,225,2510.835423
2.0,225,2604.257555
2.0,225,2688.870512
4.0,225,2782.0069
0.0,225,2875.653907
2.0,225,2969.441971
2.0,225,3062.952507
1.0,225,3148.035166
3.0,225,3241.698392
2.0,225,3335.67664
2.0,225,3429.119092
2.0,225,3514.433546
3.0,225,3607.905622
2.0,225,3700.311466
1.0,225,3793.710786
0.0,225,3878.240232
2.0,225,3971.625361
2.0,225,4064.953966
0.0,225,4158.390953
2.0,225,4243.590855
2.0,225,4337.555286
1.0,225,4431.637302
3.0,225,4525.678388
3.0,225,4611.024915
1.0,225,4704.759166
0.0,225,4798.693897
1.0,225,4892.722157
2.0,225,4978.014634
2.0,225,5071.765949
2.0,225,5165.722048
2.0,225,5259.098726
0.0,225,5344.057252
2.0,225,5438.01369
12.0,225,5532.225029
1.0,225,5625.620876
2.0,225,5710.68999
2.0,225,5804.477093
2.0,225,5898.40185
2.0,225,5992.174793
0.0,225,6086.420274
2.0,225,6171.932307
2.0,225,6265.877521
0.0,225,6359.990153
2.0,225,6454.147636
1.0,225,6539.725688
1.0,225,6633.568413
1.0,225,6727.362699
2.0,225,6821.189908
2.0,225,6906.783817
2.0,225,7000.939248
2.0,225,7094.940745
0.0,225,7188.966699
2.0,225,7274.208237
3.0,225,7368.599326
3.0,225,7462.876074
3.0,225,7557.066937
0.0,225,7642.658723
3.0,225,7737.010996
2.0,225,7831.298125
0.0,225,7925.587996
2.0,225,8011.390628
3.0,225,8105.528061
2.0,225,8200.149604
1.0,225,8293.828315
2.0,225,8379.251681
3.0,225,8473.372091
2.0,225,8567.571379
2.0,225,8661.27615
0.0,225,8746.184512
2.0,225,8840.111673
2.0,225,8933.727088
2.0,225,9028.003319
0.0,225,9121.864513
2.0,225,9206.127526
3.0,225,9299.417668
3.0,225,9393.134432
0.0,225,9486.911814
2.0,225,9572.068237
2.0,225,9666.012909
2.0,225,9760.043215
1.0,225,9853.618827
2.0,225,9938.705261
2.0,225,10032.707336
1.0,225,10126.692271
2.0,225,10220.521255
0.0,225,10306.569997
2.0,225,10400.210265
3.0,225,10493.984837
1.0,225,10587.998363
0.0,225,10673.2019
0.0,225,10766.671997
0.0,225,10860.0126
1.0,225,10953.430691
0.0,225,11038.839733
2.0,225,11133.307204
2.0,225,11226.873878
3.0,225,11320.421559
3.0,225,11405.193291
3.0,225,11498.213082
2.0,225,11591.651599
2.0,225,11685.091331
2.0,225,11769.72852
2.0,225,11862.60284
2.0,225,11955.331431
2.0,225,12047.955027
2.0,225,12141.324125
1.0,225,12225.636318
0.0,225,12318.079727
2.0,225,12410.514147
3.0,225,12503.061745
0.0,225,12586.497204
