#{"env_id": "DeepmindLabNavMazeStatic01-v0", "t_start": 1567755467.3692708}
r,l,t
1.0,225,160.923316
3.0,225,336.718757
3.0,225,512.581279
2.0,225,690.187224
3.0,225,837.701302
12.0,225,1013.415495
3.0,225,1190.31051
2.0,225,1365.74489
3.0,225,1511.209103
0.0,225,1686.47308
0.0,225,1861.068086
0.0,225,2036.13326
1.0,225,2181.731924
0.0,225,2356.252378
1.0,225,2531.287971
2.0,225,2705.993269
10.0,225,2850.435959
0.0,225,3024.892045
0.0,225,3198.394793
0.0,225,3373.160995
3.0,225,3517.928785
2.0,225,3692.295788
2.0,225,3866.488044
1.0,225,4040.696222
0.0,225,4184.847829
0.0,225,4358.097165
2.0,225,4532.534883
3.0,225,4705.548823
2.0,225,4849.837804
2.0,225,5024.128132
0.0,225,5199.380604
2.0,225,5372.409726
0.0,225,5544.376379
3.0,225,5689.23754
1.0,225,5866.475366
0.0,225,6038.938845
2.0,225,6210.71584
3.0,225,6354.839719
0.0,225,6530.509149
10.0,225,6704.226042
0.0,225,6876.687029
2.0,225,7021.756526
