#{"env_id": "DeepmindLabNavMazeStatic01-v0", "t_start": 1567755468.1434207}
r,l,t
1.0,225,160.293092
2.0,225,336.036703
0.0,225,512.187419
2.0,225,689.538283
3.0,225,837.222325
3.0,225,1012.948805
14.0,225,1189.7181
0.0,225,1365.238767
2.0,225,1510.625754
2.0,225,1686.01245
1.0,225,1860.591974
3.0,225,2035.740401
0.0,225,2181.272482
2.0,225,2355.729625
0.0,225,2530.774097
0.0,225,2705.501847
3.0,225,2849.930351
0.0,225,3024.109622
0.0,225,3197.86942
4.0,225,3372.682103
0.0,225,3517.422825
2.0,225,3691.868543
3.0,225,3866.063406
3.0,225,4040.263705
3.0,225,4184.424942
2.0,225,4357.592783
2.0,225,4532.01702
1.0,225,4704.985441
3.0,225,4849.063654
0.0,225,5023.588147
1.0,225,5198.834472
0.0,225,5371.53845
0.0,225,5543.886635
1.0,225,5688.746424
2.0,225,5865.953457
0.0,225,6038.126448
2.0,225,6210.203269
2.0,225,6354.357183
3.0,225,6529.998783
2.0,225,6703.513606
0.0,225,6876.155131
3.0,225,7021.260464
