#{"env_id": "DeepmindLabNavMazeStatic01-v0", "t_start": 1567755467.8770807}
r,l,t
1.0,225,160.498888
0.0,225,335.928996
1.0,225,512.302311
0.0,225,689.705188
2.0,225,837.541117
3.0,225,1013.08346
1.0,225,1189.980916
1.0,225,1365.599882
2.0,225,1511.003719
3.0,225,1686.102208
3.0,225,1860.747201
2.0,225,2035.960901
3.0,225,2181.491722
4.0,225,2355.915637
0.0,225,2530.841497
3.0,225,2705.730391
1.0,225,2850.093655
2.0,225,3024.254604
0.0,225,3198.065495
3.0,225,3372.866087
3.0,225,3517.613523
3.0,225,3692.059586
2.0,225,3866.161033
0.0,225,4040.372452
3.0,225,4184.600187
3.0,225,4357.761947
0.0,225,4532.17451
3.0,225,4705.265621
1.0,225,4849.321032
0.0,225,5023.741966
3.0,225,5199.013053
3.0,225,5371.646657
0.0,225,5544.057679
0.0,225,5688.921926
0.0,225,5866.161312
3.0,225,6038.577705
3.0,225,6210.392095
3.0,225,6354.52145
10.0,225,6530.180739
2.0,225,6704.019562
2.0,225,6876.474908
2.0,225,7021.434547
