opt_dyn_loss,opt_vf,opt_clipfrac,total_secs,advstd,tps,rew_mean,opt_approxkl,opt_ent,opt_pg,advmean,ups,opt_aux,opt_tot,vpredmean,ev,retstd,recent_best_ext_ret,retmean,opt_feat_var,rank,vpredstd,n_updates,epcount,eplen,tcount,eprew_recent,best_ext_ret,eprew
0.019285625,0.0009892397,0.0,1647.6730756759644,0.04525813,170.7944923854466,0.019845888,3.936955e-15,1.6970685,-0.015463788,-0.005489918,0.010424468529385169,0.0,-0.016171617,0.45335135,-0.5403914451599121,0.036465406,,0.4478614,0.032757327,0,0.045494515,17,1152.0,225.0,259200.0,2.890625,22.0,2.63
0.0201146,0.0010509335,0.0,1743.0240094661713,0.045048017,171.82841686740494,0.019781027,4.0323647e-15,1.6904033,-0.021436527,-0.002766707,0.010487574271692196,0.0,-0.022075996,0.436733,-0.5714335441589355,0.035935827,12.0,0.43396634,0.035661917,0,0.045948762,18,1280.0,225.0,288000.0,2.203125,22.0,2.16
0.018789634,0.0010443527,0.0,1838.133867740631,0.045502596,172.26395136370053,0.020329336,3.9118014e-15,1.6791956,0.024604663,0.001543304,0.010514157187725862,0.0,0.023969822,0.43448424,-0.5385863780975342,0.036683876,,0.43602753,0.031993993,0,0.04514493,19,1280.0,225.0,288000.0,2.203125,22.0,2.16
0.01825069,0.00090571516,0.0,1934.1036162376404,0.04464495,170.72046406905585,0.019405602,3.7374617e-15,1.6888356,0.026647415,0.0012276405,0.010419950199527335,0.0,0.025864294,0.42410904,-0.5530630350112915,0.035824314,13.0,0.42533666,0.03080953,0,0.0456025,20,1408.0,225.0,316800.0,2.375,22.0,2.48
0.020349467,0.001197364,0.0,2029.31760764122,0.04517957,172.07555064626794,0.019156184,4.270889e-15,1.6726846,-0.14619112,-1.1054712e-05,0.010502658120499752,0.0,-0.14666644,0.43032116,-0.22057509422302246,0.04089402,,0.43031013,0.036593955,0,0.048351083,21,1408.0,225.0,316800.0,2.375,22.0,2.48
0.018793046,0.0012049003,0.0,2125.108850002289,0.04784305,171.03860014930498,0.018944828,4.2596135e-15,1.6642272,0.018569935,-0.0018454487,0.010439367684894103,0.0,0.018110609,0.44468114,-0.11219000816345215,0.04536588,13.0,0.4428357,0.03466709,0,0.05319429,22,1536.0,225.0,345600.0,2.7265625,22.0,2.62
0.019858874,0.0013038565,0.0,2220.560033082962,0.0512077,171.64795103851785,0.019917239,4.2544093e-15,1.6603321,0.012359717,-0.0014626614,0.010476559511628286,0.0,0.012003241,0.4640609,-0.1782851219177246,0.0471748,14.0,0.46259823,0.037979923,0,0.05869901,23,1664.0,225.0,374400.0,2.5625,22.0,2.58
0.01813138,0.0011327409,0.0,2315.7998340129852,0.04856558,172.02891900244558,0.019052386,4.7913062e-15,1.6572896,0.023070863,0.0019488197,0.01049981195083286,0.0,0.022546314,0.45395383,0.00760120153427124,0.048751216,,0.45590264,0.036118787,0,0.05495562,24,1664.0,225.0,374400.0,2.5625,22.0,2.58
0.020931266,0.0015557699,0.0,2411.16787815094,0.05142261,171.79758846998806,0.019689094,4.7678875e-15,1.6339207,-0.13506734,-0.00025861108,0.01048569265563892,0.0,-0.1351455,0.47259164,-0.16692185401916504,0.047602884,13.0,0.472333,0.042227447,0,0.05755855,25,1792.0,225.0,403200.0,1.9765625,22.0,2.12
0.019738218,0.001250976,0.0,2506.6178250312805,0.05075202,171.65017410161119,0.020239277,4.7106416e-15,1.6466452,0.044054814,0.0019445107,0.010476695196631542,0.0,0.043659143,0.48398924,-0.14483678340911865,0.047433104,,0.48593375,0.043515723,0,0.05606635,26,1792.0,225.0,403200.0,1.9765625,22.0,2.12
0.019218773,0.0011701741,0.0,2602.302062034607,0.0475833,171.22987561086387,0.019430716,4.514618e-15,1.644737,0.044521876,0.0043375595,0.01045104221257714,0.0,0.04404731,0.4531228,-0.38709795475006104,0.040401828,14.0,0.45746034,0.03821247,0,0.050101705,27,1920.0,225.0,432000.0,2.0859375,22.0,1.91
0.019871715,0.0012481767,0.0,2697.142823457718,0.049581956,172.7527252433838,0.020289622,4.761599e-15,1.6321778,0.017669953,0.0036823265,0.010543989577843249,0.0,0.017285952,0.48485777,-0.25003790855407715,0.044346776,,0.4885401,0.043057047,0,0.052163288,28,1920.0,225.0,432000.0,2.0859375,22.0,1.91
0.018730007,0.00118267,0.0,2792.452618598938,0.050317485,171.9025833150087,0.019371435,5.415156e-15,1.6322391,0.061865155,0.0024812305,0.0104921010324102,0.0,0.061415587,0.47561476,-0.07966387271881104,0.048425563,14.0,0.47809598,0.038475916,0,0.054015424,29,2048.0,225.0,460800.0,2.1171875,22.0,1.94
0.020519303,0.0013044563,0.0,2886.9564027786255,0.051334713,173.36871895889172,0.020273563,5.4392255e-15,1.6004782,0.011500096,0.0036828977,0.010581586850518293,0.0,0.011204074,0.48614565,-0.10302388668060303,0.04887859,13.0,0.48982856,0.046774574,0,0.05760248,30,2176.0,225.0,489600.0,2.09375,22.0,2.11
