#{"env_id": "DeepmindLabNavMazeStatic01-v0", "t_start": 1567755467.077202}
r,l,t
0.0,225,161.208009
1.0,225,337.163116
3.0,225,512.838882
0.0,225,690.234196
2.0,225,837.871302
2.0,225,1013.619853
3.0,225,1190.414567
3.0,225,1365.917618
11.0,225,1511.393622
3.0,225,1686.643442
3.0,225,1861.253312
12.0,225,2036.531586
1.0,225,2182.174649
3.0,225,2356.368385
2.0,225,2531.424284
14.0,225,2706.177821
1.0,225,2850.60705
3.0,225,3025.193636
2.0,225,3198.579495
2.0,225,3373.296232
3.0,225,3518.096854
0.0,225,3692.52973
2.0,225,3866.642409
0.0,225,4040.873234
0.0,225,4185.211783
3.0,225,4358.27703
2.0,225,4532.670942
3.0,225,4705.684035
2.0,225,4849.733286
1.0,225,5024.435106
12.0,225,5199.689698
0.0,225,5372.480315
3.0,225,5544.569592
3.0,225,5689.53744
2.0,225,5866.667463
0.0,225,6038.936059
2.0,225,6210.916313
2.0,225,6355.031725
10.0,225,6530.714899
3.0,225,6704.420032
0.0,225,6876.926326
3.0,225,7021.936426
