opt_clipfrac,recent_best_ext_ret,vpredstd,opt_aux,opt_ent,ups,opt_vf,ev,rew_mean,opt_tot,retmean,rank,opt_dyn_loss,advmean,opt_approxkl,opt_pg,vpredmean,advstd,opt_feat_var,tps,total_secs,n_updates,retstd,epcount,eplen,eprew,tcount,best_ext_ret,eprew_recent
0.0,12.0,0.8757062,0.7981577,1.6701808,0.006225647592898543,0.0761471,0.8554271459579468,1.3907231,0.15060714,1.8351909,0,0.9389886,0.06676822,3.4389775e-14,0.07613021,1.7684227,0.3694612,2.8982756,717.1946027019121,2592.3908140659332,16,0.97168493,1920.0,900.0,1.69,1728000.0,13.0,1.7421875
0.0,11.0,0.8811924,0.80038995,1.6414748,0.0062627373504902046,0.061060004,0.8634629994630814,1.431295,0.123181134,1.9106044,0,1.1493756,0.03754187,4.231949e-14,0.063762605,1.8730625,0.3516387,3.928453,721.4673427764715,2752.0654010772705,17,0.9516374,2048.0,900.0,1.48,1843200.0,13.0,1.5078125
0.0,11.0,0.8682861,0.94153243,1.6044577,0.006324755922151957,0.06596942,0.8708570152521133,1.7919261,-0.011046626,2.1270351,0,1.9819694,0.058419276,4.896826e-14,-0.07541159,2.0686157,0.34025455,5.8109975,728.6118822319055,2910.1742691993713,18,0.9468224,2176.0,900.0,1.67,1958400.0,13.0,1.5859375
0.0,4.0,0.8937082,0.81556505,1.6152443,0.006321028416281758,0.06443328,0.8634995073080063,2.04198,0.09390637,2.177039,0,1.7469548,0.0631072,4.9867726e-14,0.031088341,2.1139314,0.3598184,5.13634,728.1824735556586,3068.3763740062714,19,0.97390425,2304.0,900.0,1.12,2073600.0,13.0,1.1953125
0.0,5.0,0.92442924,0.78193754,1.5965934,0.006318364210372823,0.048077654,0.8755209594964981,2.1953552,0.05821029,2.2049854,0,1.921801,0.05010873,5.884701e-14,0.01172923,2.154877,0.34599695,5.942848,727.8755570349492,3226.6451864242554,20,0.9806729,2432.0,900.0,1.3,2188800.0,13.0,1.3125
0.0,12.0,0.8771508,0.82002914,1.5800606,0.0063832558460362775,0.06463647,0.8708720505237579,2.5848901,0.05690608,2.3735662,0,2.3114192,0.054185707,5.9943695e-14,-0.006150328,2.31938,0.33308163,7.199997,735.3510734633792,3383.3050515651703,21,0.92691636,2560.0,900.0,1.38,2304000.0,13.0,1.3671875
0.0,12.0,0.85603094,0.822618,1.5532016,0.006335447583598355,0.06073471,0.877165824174881,2.6101272,-0.05509705,2.2856286,0,2.7866077,0.03968577,6.7566436e-14,-0.11427856,2.2459424,0.31079516,7.8569183,729.8435616305305,3541.147096157074,22,0.8867774,2688.0,900.0,1.59,2419200.0,13.0,1.625
0.0,14.0,0.77346367,0.8337234,1.5367105,0.006361278309934558,0.038109627,0.8627209663391113,2.8082333,0.030838618,2.2524273,0,3.069643,0.050187856,6.917978e-14,-0.0057342974,2.2022395,0.30022004,9.121326,732.8192613044611,3698.3482043743134,23,0.81028455,2816.0,900.0,1.77,2534400.0,14.0,1.6953125
0.0,12.0,0.7888798,0.7588102,1.5050086,0.006425848696071866,0.05853891,0.8691791892051697,3.3775,-0.0848652,2.4753168,0,3.6640737,0.05906478,7.742288e-14,-0.14189911,2.416252,0.29936847,10.016323,740.2577697874789,3853.9696712493896,24,0.8276898,2944.0,900.0,1.57,2649600.0,14.0,1.515625
0.0,10.0,0.7843943,0.74526584,1.5218085,0.006373774470055266,0.03844841,0.8816644847393036,3.2828307,0.06143297,2.348987,0,3.0021145,0.051827583,7.570216e-14,0.02450637,2.2971597,0.28255042,9.988222,734.2588189503666,4010.8625774383545,25,0.82136923,3072.0,900.0,1.33,2764800.0,14.0,1.2421875
0.0,12.0,0.78767765,0.7961592,1.499181,0.00640555287033424,0.03760968,0.8797354772686958,3.772308,0.034125045,2.5576034,0,3.5706184,0.04389149,8.0399697e-14,-0.0019854568,2.5137117,0.2846239,11.187631,737.9196906625044,4166.977126836777,26,0.8207343,3200.0,900.0,1.36,2880000.0,14.0,1.421875
0.0,12.0,0.7760187,0.7232441,1.468576,0.006471971930428869,0.038732875,0.877830259501934,4.092955,0.056251258,2.6279423,0,3.905592,0.034567855,8.756065e-14,0.018986957,2.5933747,0.28119546,12.647768,745.5711663854057,4321.489539861679,27,0.8045009,3328.0,900.0,1.45,2995200.0,14.0,1.5078125
0.0,4.0,0.7284861,0.7033982,1.4476752,0.006460495587389299,0.027997987,0.8810117542743683,4.196378,0.05053841,2.640221,0,4.1564455,0.013797615,9.673491e-14,0.023988098,2.6264236,0.25780156,13.545947,744.2490916672473,4476.276426792145,28,0.7473663,3456.0,900.0,1.1,3110400.0,14.0,1.1640625
0.0,11.0,0.7078206,0.67675424,1.4065524,0.006480975605082855,0.0362745,0.8698611408472061,4.652459,0.028454032,2.7847352,0,4.6407394,0.008809945,1.0316653e-13,-0.006413915,2.775925,0.257656,14.07174,746.6083897055449,4630.574183940887,29,0.71422786,3584.0,900.0,1.11,3225600.0,14.0,1.2109375
0.0,11.0,0.65889496,0.6306121,1.4230989,0.006515626987003745,0.027618233,0.8840313851833344,4.709475,0.066204324,2.7359228,0,4.3024755,-0.00042444814,1.0696013e-13,0.040009193,2.7363474,0.22915353,14.407629,750.6002289028314,4784.0513553619385,30,0.67290896,3712.0,900.0,1.32,3340800.0,14.0,1.1953125
