#{"env_id": "DeepmindLabNavMazeStatic01-v0", "t_start": 1568654178.4106524}
r,l,t
0.0,900,113.652882
12.0,900,277.214349
1.0,900,439.810594
0.0,900,601.765106
10.0,900,763.36142
2.0,900,925.06084
2.0,900,1087.168948
0.0,900,1248.024735
3.0,900,1409.480525
2.0,900,1570.652695
0.0,900,1731.930994
1.0,900,1892.945759
0.0,900,2053.669296
2.0,900,2214.353141
11.0,900,2374.856677
2.0,900,2535.71134
0.0,900,2695.233372
1.0,900,2853.550717
1.0,900,3011.784974
2.0,900,3169.776849
3.0,900,3326.396673
2.0,900,3484.226304
2.0,900,3641.670357
3.0,900,3797.161397
2.0,900,3954.198673
2.0,900,4110.118703
0.0,900,4264.609554
1.0,900,4419.494349
0.0,900,4573.870915
0.0,900,4727.348816
0.0,900,4879.520246
0.0,900,5032.352427
0.0,900,5184.94501
2.0,900,5336.436738
0.0,900,5489.480722
0.0,900,5642.400153
2.0,900,5795.284786
0.0,900,5948.032514
0.0,900,6099.929856
1.0,900,6251.637356
0.0,900,6404.362543
1.0,900,6556.563225
0.0,900,6708.305797
0.0,900,6860.960174
0.0,900,7014.251789
0.0,900,7168.036804
0.0,900,7320.248351
0.0,900,7471.700297
0.0,900,7625.945115
0.0,900,7781.421799
1.0,900,7932.801918
2.0,900,8088.132896
1.0,900,8239.398555
2.0,900,8393.901678
0.0,900,8546.49678
13.0,900,8700.665103
2.0,900,8855.36832
2.0,900,9008.436952
1.0,900,9161.288679
1.0,900,9313.826756
0.0,900,9466.590818
0.0,900,9622.305931
0.0,900,9776.212334
2.0,900,9929.967372
1.0,900,10082.972838
0.0,900,10235.757227
0.0,900,10387.885605
1.0,900,10540.488824
3.0,900,10692.824537
0.0,900,10844.426086
0.0,900,10996.871845
0.0,900,11148.352667
0.0,900,11302.84817
2.0,900,11457.156273
3.0,900,11608.683236
0.0,900,11761.036508
1.0,900,11915.400811
0.0,900,12068.648825
1.0,900,12221.992716
2.0,900,12375.504737
0.0,900,12528.152107
1.0,900,12681.470152
0.0,900,12833.976761
0.0,900,12989.115947
1.0,900,13142.345724
0.0,900,13295.290489
1.0,900,13448.276754
0.0,900,13601.404936
0.0,900,13754.391944
2.0,900,13907.782204
0.0,900,14060.368721
2.0,900,14213.439148
1.0,900,14365.186617
2.0,900,14516.124221
2.0,900,14667.003338
2.0,900,14820.34867
0.0,900,14972.776682
0.0,900,15123.907193
0.0,900,15275.403476
0.0,900,15428.864802
0.0,900,15582.167641
0.0,900,15735.728834
0.0,900,15887.991837
0.0,900,16041.322723
0.0,900,16195.620754
0.0,900,16347.872347
0.0,900,16501.890667
0.0,900,16655.211696
2.0,900,16809.065134
3.0,900,16964.632325
0.0,900,17118.101618
0.0,900,17272.043746
0.0,900,17426.235098
0.0,900,17579.948814
0.0,900,17734.256979
0.0,900,17889.618076
2.0,900,18044.636495
0.0,900,18197.904709
0.0,900,18351.86206
2.0,900,18506.9669
0.0,900,18661.344776
0.0,900,18816.297985
1.0,900,18971.506897
0.0,900,19126.734591
2.0,900,19282.331622
0.0,900,19439.744075
1.0,900,19594.628704
1.0,900,19752.218843
3.0,900,19910.137279
0.0,900,20064.908831
0.0,900,20219.264499
2.0,900,20373.15181
2.0,900,20530.488431
2.0,900,20684.709765
0.0,900,20839.070081
0.0,900,20994.138279
2.0,900,21148.112215
0.0,900,21301.940893
0.0,900,21455.254501
2.0,900,21607.341223
1.0,900,21760.575296
0.0,900,21914.591312
2.0,900,22070.546154
1.0,900,22224.283631
2.0,900,22379.516618
2.0,900,22533.768761
0.0,900,22689.040885
2.0,900,22843.278207
0.0,900,22997.556845
2.0,900,23150.375642
0.0,900,23302.824159
0.0,900,23454.641079
1.0,900,23607.109783
0.0,900,23759.212516
0.0,900,23914.194738
0.0,900,24069.007683
0.0,900,24222.532816
2.0,900,24376.732323
2.0,900,24530.208668
0.0,900,24683.928563
2.0,900,24837.676199
1.0,900,24991.844866
2.0,900,25145.200739
0.0,900,25299.416161
0.0,900,25453.414028
0.0,900,25609.932808
2.0,900,25766.133527
0.0,900,25922.540481
0.0,900,26077.71451
0.0,900,26232.780893
0.0,900,26388.909194
2.0,900,26543.550383
1.0,900,26698.799811
3.0,900,26853.326857
2.0,900,27009.248561
2.0,900,27163.958329
2.0,900,27318.707844
0.0,900,27474.315355
2.0,900,27630.148353
2.0,900,27784.506416
0.0,900,27936.885784
2.0,900,28091.038203
0.0,900,28245.441862
0.0,900,28400.37698
0.0,900,28555.197655
0.0,900,28709.01631
2.0,900,28862.880054
0.0,900,29016.562942
0.0,900,29170.130454
2.0,900,29325.236665
2.0,900,29479.643968
2.0,900,29635.96502
0.0,900,29791.948766
2.0,900,29947.680871
0.0,900,30104.134218
1.0,900,30260.754966
0.0,900,30418.191702
2.0,900,30574.926039
2.0,900,30732.066888
2.0,900,30887.947391
0.0,900,31043.988792
2.0,900,31200.187261
1.0,900,31356.947308
2.0,900,31514.677865
3.0,900,31671.187943
0.0,900,31827.874956
0.0,900,31985.114377
2.0,900,32141.019093
2.0,900,32297.953155
2.0,900,32456.127064
2.0,900,32613.340768
0.0,900,32770.594072
3.0,900,32930.331012
1.0,900,33087.264892
0.0,900,33244.474342
0.0,900,33401.203774
2.0,900,33557.457266
0.0,900,33712.384355
2.0,900,33866.772104
0.0,900,34021.445393
2.0,900,34176.800956
0.0,900,34330.562404
2.0,900,34484.550701
0.0,900,34638.424404
2.0,900,34791.67273
0.0,900,34946.686834
2.0,900,35102.866585
0.0,900,35259.245755
2.0,900,35414.5372
0.0,900,35570.426858
0.0,900,35726.460558
0.0,900,35883.347682
0.0,900,36040.298906
2.0,900,36196.875979
0.0,900,36352.831226
2.0,900,36509.624734
0.0,900,36664.930854
0.0,900,36819.547465
0.0,900,36974.101913
1.0,900,37127.692545
0.0,900,37282.193618
0.0,900,37437.572049
2.0,900,37591.820633
0.0,900,37746.281697
3.0,900,37900.007378
2.0,900,38053.795789
0.0,900,38208.214963
2.0,900,38363.320849
3.0,900,38517.504656
2.0,900,38672.092062
2.0,900,38826.62833
0.0,900,38981.107091
3.0,900,39135.842535
2.0,900,39291.005514
2.0,900,39446.669152
3.0,900,39601.905098
0.0,900,39757.143093
2.0,900,39911.578184
3.0,900,40066.706601
0.0,900,40222.424933
0.0,900,40378.10337
2.0,900,40534.611248
2.0,900,40691.400516
0.0,900,40846.661497
2.0,900,41001.488768
0.0,900,41156.999958
2.0,900,41313.012825
0.0,900,41469.32944
0.0,900,41626.330218
2.0,900,41782.726973
2.0,900,41938.817899
3.0,900,42095.073969
1.0,900,42253.348445
0.0,900,42411.131431
2.0,900,42569.00785
2.0,900,42726.308254
0.0,900,42883.076018
0.0,900,43040.952645
2.0,900,43199.378188
0.0,900,43357.89024
0.0,900,43515.164212
2.0,900,43672.631658
0.0,900,43830.280564
0.0,900,43985.457217
0.0,900,44140.454153
0.0,900,44297.421954
2.0,900,44453.787755
0.0,900,44609.645097
2.0,900,44765.462474
0.0,900,44920.147012
2.0,900,45075.995925
2.0,900,45231.192047
3.0,900,45387.001477
3.0,900,45542.79153
0.0,900,45696.989048
0.0,900,45852.630318
0.0,900,46005.40062
0.0,900,46157.463761
3.0,900,46310.677619
2.0,900,46464.708665
2.0,900,46616.670465
2.0,900,46769.023052
3.0,900,46921.030854
0.0,900,47074.511302
2.0,900,47228.939047
0.0,900,47380.575691
0.0,900,47534.236665
2.0,900,47687.250539
0.0,900,47841.299372
2.0,900,47993.860514
0.0,900,48146.426848
0.0,900,48297.816941
3.0,900,48451.633811
2.0,900,48605.328827
0.0,900,48757.497117
2.0,900,48910.744846
0.0,900,49062.276173
2.0,900,49214.759224
3.0,900,49365.652942
3.0,900,49517.728785
2.0,900,49670.065227
2.0,900,49821.139799
1.0,900,49974.718989
0.0,900,50125.801585
2.0,900,50276.873723
2.0,900,50427.56256
0.0,900,50578.558057
0.0,900,50730.912978
0.0,900,50884.466339
3.0,900,51036.319739
2.0,900,51189.747244
2.0,900,51343.844769
2.0,900,51497.376676
0.0,900,51650.592849
0.0,900,51803.64506
0.0,900,51957.078734
2.0,900,52108.69529
3.0,900,52259.643916
1.0,900,52411.372639
0.0,900,52561.422986
2.0,900,52713.547642
0.0,900,52865.846984
0.0,900,53019.08858
2.0,900,53169.972065
0.0,900,53320.558335
0.0,900,53470.692873
2.0,900,53621.768855
3.0,900,53774.906076
3.0,900,53926.75478
1.0,900,54079.10587
2.0,900,54230.69046
2.0,900,54382.84014
1.0,900,54533.957733
2.0,900,54685.522152
0.0,900,54838.61183
3.0,900,54991.501127
0.0,900,55143.377061
2.0,900,55297.504981
2.0,900,55451.708833
2.0,900,55603.737919
0.0,900,55757.185444
0.0,900,55909.236699
2.0,900,56062.244938
0.0,900,56213.515874
0.0,900,56365.888728
2.0,900,56517.52024
0.0,900,56668.486727
2.0,900,56819.25153
2.0,900,56970.618381
2.0,900,57123.203571
1.0,900,57275.509033
2.0,900,57427.944729
2.0,900,57581.709488
0.0,900,57734.117268
0.0,900,57885.545122
0.0,900,58036.800929
0.0,900,58188.793678
0.0,900,58340.327083
0.0,900,58491.372781
2.0,900,58643.109283
0.0,900,58795.237324
0.0,900,58948.01686
0.0,900,59101.066395
2.0,900,59254.208744
0.0,900,59407.644732
3.0,900,59561.691592
2.0,900,59713.885054
0.0,900,59867.684728
2.0,900,60018.734899
0.0,900,60171.820228
0.0,900,60322.042642
0.0,900,60474.888839
3.0,900,60625.888924
1.0,900,60780.289623
3.0,900,60932.245957
0.0,900,61083.36447
3.0,900,61236.644675
2.0,900,61390.27978
3.0,900,61543.20226
0.0,900,61696.585171
1.0,900,61849.349874
0.0,900,62003.647001
0.0,900,62157.615722
0.0,900,62311.887733
2.0,900,62465.540887
0.0,900,62618.91519
0.0,900,62771.688129
2.0,900,62924.976778
2.0,900,63078.712859
2.0,900,63235.01297
0.0,900,63390.11197
3.0,900,63543.268831
0.0,900,63698.884657
0.0,900,63852.92036
3.0,900,64004.89839
2.0,900,64156.598488
3.0,900,64310.269077
1.0,900,64462.653135
2.0,900,64614.532694
0.0,900,64766.188737
2.0,900,64918.164104
0.0,900,65070.189431
0.0,900,65223.57155
2.0,900,65375.85842
2.0,900,65527.964859
2.0,900,65682.87685
0.0,900,65837.346362
3.0,900,65989.852424
0.0,900,66141.360936
0.0,900,66293.404819
2.0,900,66445.730491
0.0,900,66597.760628
2.0,900,66750.737742
2.0,900,66902.236001
0.0,900,67054.276788
2.0,900,67207.324787
0.0,900,67358.897662
0.0,900,67513.088013
0.0,900,67664.120435
0.0,900,67815.520731
0.0,900,67968.668827
2.0,900,68122.824349
