#{"t_start": 1568400186.8982189, "env_id": "DeepmindLabNavMazeStatic01-v0"}
r,l,t
1.0,225,103.522929
0.0,225,204.544064
13.0,225,305.916234
3.0,225,407.111173
3.0,225,499.427584
1.0,225,600.892541
0.0,225,701.659824
12.0,225,802.507879
0.0,225,894.464938
12.0,225,995.184221
2.0,225,1095.519514
0.0,225,1195.724164
2.0,225,1286.940606
5.0,225,1386.918529
1.0,225,1486.474834
2.0,225,1586.041856
2.0,225,1677.233733
3.0,225,1776.898
3.0,225,1876.803052
3.0,225,1975.943812
2.0,225,2067.04473
3.0,225,2166.548689
5.0,225,2265.901567
1.0,225,2365.500958
3.0,225,2456.412647
0.0,225,2555.587591
1.0,225,2655.038817
1.0,225,2754.3887
2.0,225,2844.738262
1.0,225,2943.650602
3.0,225,3042.673942
2.0,225,3141.83671
1.0,225,3240.886688
0.0,225,3331.354305
3.0,225,3430.650332
3.0,225,3529.574525
2.0,225,3628.860964
2.0,225,3719.29384
2.0,225,3818.246404
2.0,225,3916.976052
2.0,225,4016.148765
2.0,225,4106.354142
0.0,225,4205.202145
2.0,225,4304.498295
3.0,225,4403.699329
3.0,225,4496.039809
2.0,225,4595.725622
10.0,225,4694.300839
2.0,225,4793.627448
2.0,225,4883.694998
2.0,225,4983.361717
2.0,225,5082.634917
2.0,225,5181.297711
2.0,225,5271.736098
2.0,225,5370.554318
2.0,225,5469.664379
0.0,225,5569.043308
3.0,225,5658.887695
3.0,225,5757.486125
2.0,225,5856.707652
2.0,225,5955.614069
2.0,225,6046.396518
0.0,225,6145.741784
1.0,225,6245.420447
10.0,225,6346.136894
0.0,225,6445.825187
3.0,225,6536.930872
2.0,225,6636.822463
0.0,225,6736.638491
1.0,225,6836.595105
2.0,225,6927.657216
1.0,225,7027.524657
3.0,225,7127.56696
2.0,225,7227.847097
1.0,225,7318.451701
0.0,225,7418.642573
2.0,225,7518.072304
2.0,225,7617.629466
0.0,225,7708.418376
2.0,225,7807.672235
2.0,225,7906.846318
2.0,225,8005.658962
3.0,225,8096.589827
0.0,225,8195.190772
2.0,225,8294.015043
0.0,225,8393.241535
1.0,225,8483.838176
2.0,225,8582.344981
2.0,225,8681.224347
2.0,225,8779.993769
3.0,225,8870.149644
2.0,225,8968.882732
0.0,225,9068.486061
0.0,225,9167.31085
2.0,225,9257.898745
0.0,225,9357.137363
2.0,225,9456.37092
1.0,225,9555.234767
3.0,225,9654.521526
3.0,225,9744.657748
3.0,225,9843.710919
1.0,225,9942.610466
