#{"t_start": 1568400185.9745858, "env_id": "DeepmindLabNavMazeStatic01-v0"}
r,l,t
0.0,225,104.27989
2.0,225,205.364559
1.0,225,306.663649
2.0,225,407.855648
3.0,225,500.298123
2.0,225,601.651227
2.0,225,702.40755
1.0,225,803.272601
2.0,225,895.230697
12.0,225,995.957617
3.0,225,1096.303402
10.0,225,1196.469804
1.0,225,1287.766804
2.0,225,1387.680452
1.0,225,1487.25132
0.0,225,1586.767463
1.0,225,1677.95872
0.0,225,1777.654886
3.0,225,1877.561528
2.0,225,1976.766007
2.0,225,2067.796836
2.0,225,2167.285403
2.0,225,2266.65566
0.0,225,2366.257575
5.0,225,2457.11789
3.0,225,2556.345578
0.0,225,2655.792828
1.0,225,2755.229219
0.0,225,2845.61723
2.0,225,2944.519299
2.0,225,3043.430552
2.0,225,3142.599233
2.0,225,3241.648303
2.0,225,3332.111184
3.0,225,3431.415375
3.0,225,3530.327593
0.0,225,3629.639195
3.0,225,3720.034981
4.0,225,3819.007553
3.0,225,3917.738947
2.0,225,4016.905819
3.0,225,4107.142443
3.0,225,4205.958152
2.0,225,4305.255828
3.0,225,4404.549918
2.0,225,4496.772968
1.0,225,4596.460195
2.0,225,4695.070244
2.0,225,4794.359295
3.0,225,4884.479099
2.0,225,4984.137425
3.0,225,5083.381904
3.0,225,5182.057517
2.0,225,5272.514099
0.0,225,5371.312721
2.0,225,5470.421119
3.0,225,5569.791695
0.0,225,5659.600176
0.0,225,5758.233676
0.0,225,5857.446757
2.0,225,5956.430556
1.0,225,6047.153104
2.0,225,6146.502254
2.0,225,6246.268465
0.0,225,6346.897764
2.0,225,6446.611696
2.0,225,6537.68047
3.0,225,6637.574955
1.0,225,6737.413825
3.0,225,6837.360635
10.0,225,6928.414824
2.0,225,7028.279963
0.0,225,7128.342655
2.0,225,7228.599806
0.0,225,7319.213562
0.0,225,7419.359445
2.0,225,7518.808568
2.0,225,7618.387801
2.0,225,7709.167101
2.0,225,7808.430764
2.0,225,7907.617521
2.0,225,8006.411512
2.0,225,8097.336829
3.0,225,8195.961949
2.0,225,8294.751519
4.0,225,8393.998221
0.0,225,8484.565328
3.0,225,8583.109388
1.0,225,8681.969181
2.0,225,8780.910592
2.0,225,8870.905375
2.0,225,8969.605777
1.0,225,9069.218916
2.0,225,9168.070709
2.0,225,9258.643656
2.0,225,9357.893403
2.0,225,9457.128283
