total_secs,advstd,advmean,opt_feat_var,recent_best_ext_ret,ev,opt_tot,opt_ent,ups,retstd,opt_approxkl,n_updates,opt_clipfrac,retmean,opt_vf,rank,opt_pg,opt_dyn_loss,vpredstd,vpredmean,opt_aux,tps,rew_mean,epcount,eprew_recent,tcount,eprew,eplen,best_ext_ret
70107.484967947,0.12196626,0.022628859,49.74385,14.0,-0.01452183723449707,-0.13937928,0.6553214,0.017928163814370318,0.1210902,1.3069332e-12,1266,0.0,4.700473,0.008473706,0,-0.14719766,18.516235,0.095230885,4.677844,0.0676136,293.7350359346433,18.198761,92160.0,2.0546875,20736000.0,2.06,225.0,24.0
70163.00040960312,0.10253222,-0.01784001,48.78934,,0.04308432340621948,-0.0059769005,0.6306373,0.018013006294616992,0.10481502,1.1465618e-12,1267,0.0,4.6669436,0.005412735,0,-0.010758998,17.294977,0.102096714,4.684784,0.039976817,295.1250951310048,17.081512,92160.0,2.0546875,20736000.0,2.06,225.0,24.0
70218.29691839218,0.11872188,0.026899284,47.098236,12.0,0.11608743667602539,-0.0503438,0.6745735,0.018084324343416728,0.12627754,1.3960541e-12,1268,0.0,4.603716,0.007994384,0,-0.057663612,18.116201,0.09878171,4.5768166,0.06766705,296.29357004253967,18.03746,92288.0,1.921875,20764800.0,1.97,225.0,24.0
70273.17519497871,0.10246471,-0.002103036,49.469894,,-0.22159945964813232,0.021142919,0.62401605,0.018222146579679674,0.09270644,1.1202306e-12,1269,0.0,4.6634817,0.0046566837,0,0.01711025,17.373922,0.092843026,4.6655846,0.031599134,298.5516495614718,17.39449,92288.0,1.921875,20764800.0,1.97,225.0,24.0
70328.91630673409,0.12517199,0.008358791,47.475582,12.0,0.0766722559928894,0.15114234,0.6539936,0.017940079925005122,0.13026543,1.0711018e-12,1270,0.0,4.666128,0.0077114473,0,0.1440849,17.406654,0.097111404,4.657769,0.044994924,293.9302694912839,17.900463,92416.0,2.0703125,20793600.0,2.14,225.0,24.0
70384.23472619057,0.11766267,0.02051825,51.041824,13.0,0.003323078155517578,0.022342918,0.6641512,0.01807716145589957,0.117858656,1.1852598e-12,1271,0.0,4.677108,0.007446525,0,0.015560545,17.929829,0.102271006,4.6565895,0.035954885,296.17621329345855,18.123981,92544.0,1.890625,20822400.0,1.99,225.0,24.0
70439.18852114677,0.10195804,-0.020709509,48.783615,,0.14258474111557007,-0.066658475,0.61843836,0.018197105419141678,0.11010977,1.109883e-12,1272,0.0,4.7017727,0.0051608216,0,-0.07120086,17.279716,0.10162767,4.7224827,0.030831223,298.14137518721725,17.067562,92544.0,1.890625,20822400.0,1.99,225.0,24.0
70494.59315013885,0.116893016,-0.008196885,48.904114,11.0,-0.008055567741394043,0.062262885,0.6483881,0.018049033414571477,0.116425015,1.219132e-12,1273,0.0,4.74721,0.00642079,0,0.05649048,17.362839,0.10596445,4.7554064,0.049485315,295.7153634643391,17.689846,92672.0,1.703125,20851200.0,1.75,225.0,24.0
70549.83489179611,0.10053845,-0.019899867,49.67141,,0.03407329320907593,0.07579297,0.6588875,0.018102253296147307,0.102296345,1.2199241e-12,1274,0.0,4.6780267,0.0048346273,0,0.07161722,16.748453,0.09800503,4.6979265,0.020404264,296.5873180040775,17.05359,92672.0,1.703125,20851200.0,1.75,225.0,24.0
70605.29319214821,0.118403,0.0075075314,48.432518,14.0,0.07180947065353394,0.113255545,0.64819276,0.01803156594506409,0.12289781,1.1136347e-12,1275,0.0,4.6854153,0.007027254,0,0.106876485,17.325611,0.10195016,4.677908,0.04495769,295.42917644393003,17.783619,92800.0,1.9765625,20880000.0,1.98,225.0,24.0
70660.24898576736,0.10230845,-0.019488133,51.051334,,0.15182435512542725,0.00259247,0.6678201,0.018196443616664122,0.11108838,1.1671084e-12,1276,0.0,4.7041597,0.005202243,0,-0.0019419529,17.153608,0.10180178,4.723648,0.037253972,298.130532215425,17.132685,92800.0,1.9765625,20880000.0,1.98,225.0,24.0
70715.6700155735,0.1255788,0.020799957,47.757473,4.0,0.16282343864440918,0.117018744,0.6246294,0.01804369214173758,0.13724856,1.1107028e-12,1277,0.0,4.6659245,0.006936022,0,0.11070735,17.57614,0.11155408,4.645125,0.048240885,295.6278520502285,18.087364,92928.0,1.71875,20908800.0,1.75,225.0,24.0
70770.33109259605,0.12360261,0.022150412,50.03613,11.0,0.057000160217285156,0.06330552,0.60508525,0.018294553537381127,0.12728341,1.209266e-12,1278,0.0,4.7335157,0.0065674963,0,0.05734311,17.98724,0.10740574,4.711365,0.047300924,299.7379651564524,18.32048,93056.0,1.890625,20937600.0,1.96,225.0,24.0
70825.70695853233,0.10154706,-0.008153977,48.80229,,-0.18513286113739014,-0.013859736,0.62208223,0.01805840835339161,0.093279,1.1700611e-12,1279,0.0,4.701,0.004775554,0,-0.018013207,17.313276,0.08900602,4.709154,0.0269216,295.8689624619681,17.300577,93056.0,1.890625,20937600.0,1.96,225.0,24.0
70881.39983773232,0.1265838,0.025198739,49.456497,4.0,-0.056467294692993164,-0.012130741,0.65001094,0.01795561684662065,0.12315444,1.3186632e-12,1280,0.0,4.731633,0.008886736,0,-0.020367466,18.260044,0.09269093,4.7064342,0.03902547,294.1848264150327,18.345251,93184.0,1.7890625,20966400.0,1.73,225.0,24.0
70937.04824829102,0.09896325,0.0030382783,51.624935,,-0.05567574501037598,0.037085336,0.6293543,0.017969965178882386,0.096318275,1.269559e-12,1281,0.0,4.676943,0.005089811,0,0.032624878,17.424593,0.092273474,4.673904,0.021718055,294.419909490809,17.43119,93184.0,1.7890625,20966400.0,1.73,225.0,24.0
70992.64204502106,0.11894378,0.031806383,50.09225,5.0,0.013513743877410889,-0.098638155,0.6544682,0.017987618382243442,0.119755715,1.2825597e-12,1282,0.0,4.7238884,0.008762777,0,-0.106746465,18.662506,0.09321626,4.692082,0.04885908,294.70913957467656,18.37774,93312.0,1.9375,20995200.0,1.83,225.0,24.0
71047.6849925518,0.10625611,-0.0052146288,51.35259,,0.06857258081436157,-0.08114976,0.6144773,0.018167631728686216,0.110098,1.1830268e-12,1283,0.0,4.764525,0.006141345,0,-0.08667662,17.827873,0.09925039,4.76974,0.025849065,297.65847824279496,17.626572,93312.0,1.9375,20995200.0,1.83,225.0,24.0
71103.1609325409,0.124189556,0.021524267,50.352673,13.0,0.027894675731658936,-0.031063128,0.62515956,0.018025832463526754,0.12595877,1.0904915e-12,1284,0.0,4.754687,0.009539315,0,-0.039977282,18.42874,0.10635234,4.733162,0.04391622,295.33523908242233,18.368977,93440.0,1.703125,21024000.0,1.7,225.0,24.0
71158.87724590302,0.11992377,0.012582845,51.408592,10.0,-0.1407831907272339,0.09759922,0.64918375,0.01794806475260878,0.11228034,1.227991e-12,1285,0.0,4.771298,0.006538598,0,0.09170981,17.96978,0.09779398,4.7587156,0.035132423,294.06109290674226,18.295727,93568.0,1.84375,21052800.0,1.89,225.0,24.0
71214.290797472,0.107032344,0.0019771084,49.907448,,0.24554842710494995,-0.1510368,0.63685924,0.018046127196072032,0.12322515,1.313833e-12,1286,0.0,4.7253265,0.006070972,0,-0.15647091,17.91345,0.10667506,4.7233496,0.03755241,295.6677479804442,17.552067,93568.0,1.84375,21052800.0,1.89,225.0,24.0
71269.82224464417,0.12866744,0.019192776,49.596832,10.0,0.08374911546707153,-0.025322203,0.6281236,0.018007814507331063,0.13441926,1.3006404e-12,1287,0.0,4.81901,0.007932444,0,-0.03262652,18.52701,0.109691575,4.799817,0.048727274,295.04003288811214,18.458702,93696.0,1.5546875,21081600.0,1.48,225.0,24.0
71324.91092443466,0.10676222,-0.020990197,51.642323,,0.1735045313835144,0.036771264,0.6694568,0.018152549739856114,0.117434956,1.2571471e-12,1288,0.0,4.8238077,0.005179241,0,0.03226148,17.273869,0.103196,4.844798,0.01962264,297.4113749378026,17.43185,93696.0,1.5546875,21081600.0,1.48,225.0,24.0
71380.34207940102,0.12271136,0.017268676,49.94208,13.0,0.10731154680252075,-0.10435088,0.63537776,0.01804039624660501,0.12987776,1.1794166e-12,1289,0.0,4.8238144,0.009179209,0,-0.112894714,18.759289,0.10657098,4.806546,0.04999873,295.5738521043765,18.440342,93824.0,1.765625,21110400.0,1.8,225.0,24.0
71435.60177135468,0.101117805,-0.021440534,51.202644,,-0.2134852409362793,0.12471037,0.6360837,0.018096373045991695,0.09179317,1.2017694e-12,1290,0.0,4.8714685,0.005273175,0,0.12007328,17.362347,0.0963068,4.892909,0.021369923,296.49097598552794,17.721119,93824.0,1.765625,21110400.0,1.8,225.0,24.0
71491.11888766289,0.119746886,0.013870822,51.808952,10.0,0.07828336954116821,-0.033570714,0.62281555,0.018012462939327355,0.12472845,1.1978467e-12,1291,0.0,4.859157,0.0079609845,0,-0.04090888,18.47105,0.095579155,4.8452864,0.063652694,295.1161927979394,18.514484,93952.0,1.71875,21139200.0,1.55,225.0,24.0
71547.02030134201,0.12493012,0.0035777055,53.4949,3.0,-0.11565375328063965,0.12623689,0.624072,0.01788863526314474,0.11827758,1.2371358e-12,1292,0.0,4.9024296,0.0075451075,0,0.119315855,18.132912,0.097609974,4.8988523,0.028380904,293.0874001513634,18.487675,94080.0,1.484375,21168000.0,1.43,225.0,24.0
71602.81710028648,0.10906621,-0.009667163,49.318474,,0.07631736993789673,0.10864926,0.6400461,0.017922175087412447,0.11348248,1.3274781e-12,1293,0.0,4.877159,0.005530004,0,0.1037593,17.329351,0.10443112,4.8868265,0.027618118,293.63691663216554,17.77256,94080.0,1.484375,21168000.0,1.43,225.0,24.0
71658.32086515427,0.124432735,0.018473662,50.534554,10.0,-0.015087366104125977,-0.054690246,0.6576269,0.01801679584046477,0.12350454,1.2227353e-12,1294,0.0,4.87354,0.0075539458,0,-0.061586566,18.642654,0.10374041,4.8550663,0.06718942,295.1871830501748,18.68021,94208.0,1.734375,21196800.0,1.75,225.0,24.0
71713.96858143806,0.10107253,-0.019355327,50.07853,,0.06367367506027222,0.18407989,0.5824643,0.017970189376686947,0.10445266,1.0325034e-12,1295,0.0,4.8560047,0.0059955744,0,0.17866679,17.368378,0.10687076,4.87536,0.03361282,294.42358274763893,17.57203,94208.0,1.734375,21196800.0,1.75,225.0,24.0
71769.89381074905,0.121641174,0.018737879,52.349426,11.0,-0.02309739589691162,0.15420078,0.6201142,0.017881017428452432,0.120260246,1.0779393e-12,1296,0.0,4.8509235,0.008553391,0,0.1462675,18.097534,0.10481139,4.8321857,0.032416537,292.96258954776465,18.555693,94336.0,1.6171875,21225600.0,1.58,225.0,24.0
71825.9747645855,0.10005251,-0.016763482,50.29904,,-0.15609610080718994,-0.04765886,0.65144855,0.017831365759514,0.09305314,1.0580135e-12,1297,0.0,4.8561773,0.0050531263,0,-0.052060537,17.645128,0.09241616,4.872941,0.027243398,292.14909660387735,17.689472,94336.0,1.6171875,21225600.0,1.58,225.0,24.0
71882.06517291069,0.12070474,0.030185696,51.62756,10.0,0.09739720821380615,0.032271236,0.6443287,0.017828360139621392,0.12705037,1.3241046e-12,1298,0.0,4.8538094,0.0076160952,0,0.025299467,18.658588,0.09767596,4.823624,0.063744694,292.0998525275569,18.780087,94464.0,1.5078125,21254400.0,1.47,225.0,24.0
71937.06500530243,0.1006454,-0.015304953,53.834515,,-0.034795522689819336,0.0139929615,0.6345233,0.018181873589676656,0.09893881,1.1505111e-12,1299,0.0,4.8668346,0.0042289924,0,0.010398492,17.777508,0.09899963,4.882139,0.024392867,297.89181689326233,17.775877,94464.0,1.5078125,21254400.0,1.47,225.0,24.0
71992.9523653984,0.1086019,0.00075475604,49.93094,12.0,0.022791683673858643,-0.05381686,0.61734223,0.017893133586604496,0.10986107,1.4073157e-12,1300,0.0,4.8121767,0.0069014733,0,-0.060100988,18.338926,0.09503292,4.8114223,0.061266374,293.16110068292807,18.452349,94592.0,1.7109375,21283200.0,1.64,225.0,24.0
72048.62550735474,0.12032445,0.019496402,51.28058,12.0,-0.08082807064056396,0.18204924,0.62854826,0.01796198247234567,0.11573789,1.0756056e-12,1301,0.0,4.807461,0.0062615667,0,0.17641622,17.678144,0.09635292,4.7879643,0.038950443,294.28912082691147,18.390444,94720.0,1.6015625,21312000.0,1.45,225.0,24.0
72104.10968852043,0.10969083,0.0027905814,51.301376,,0.142680823802948,0.062857136,0.6395426,0.0180231550505116,0.11846745,1.2946968e-12,1302,0.0,4.8195233,0.0055045974,0,0.05799208,17.640614,0.108829275,4.8167334,0.031816706,295.29137234758207,17.869728,94720.0,1.6015625,21312000.0,1.45,225.0,24.0
