#{"t_start": 1568400186.832876, "env_id": "DeepmindLabNavMazeStatic01-v0"}
r,l,t
2.0,225,103.572059
2.0,225,204.703012
3.0,225,305.970789
1.0,225,407.169323
2.0,225,499.625003
0.0,225,600.944688
2.0,225,701.711934
3.0,225,802.583194
0.0,225,894.503379
3.0,225,995.299905
3.0,225,1095.576276
3.0,225,1195.774436
0.0,225,1286.90841
1.0,225,1386.973236
3.0,225,1486.525566
3.0,225,1586.06283
1.0,225,1677.23716
1.0,225,1776.945461
3.0,225,1876.858358
0.0,225,1976.095526
3.0,225,2067.092223
0.0,225,2166.595597
3.0,225,2265.958097
2.0,225,2365.563157
2.0,225,2456.47287
3.0,225,2555.641005
0.0,225,2655.080926
0.0,225,2754.465686
3.0,225,2844.976948
2.0,225,2943.750086
1.0,225,3042.730463
0.0,225,3141.884494
3.0,225,3240.946053
0.0,225,3331.407517
2.0,225,3430.703288
2.0,225,3529.625331
0.0,225,3628.927656
3.0,225,3719.344067
2.0,225,3818.311899
2.0,225,3917.036463
2.0,225,4016.198002
2.0,225,4106.375479
3.0,225,4205.249314
3.0,225,4304.558742
2.0,225,4403.799049
2.0,225,4496.088744
2.0,225,4595.723449
0.0,225,4694.365158
2.0,225,4793.629131
0.0,225,4883.755176
3.0,225,4983.427287
3.0,225,5082.694715
0.0,225,5181.341523
2.0,225,5271.863965
0.0,225,5370.608977
1.0,225,5469.713974
3.0,225,5569.0933
1.0,225,5658.957525
2.0,225,5757.536773
2.0,225,5856.759815
2.0,225,5955.75858
0.0,225,6046.444699
2.0,225,6145.858107
2.0,225,6245.501451
2.0,225,6346.19165
0.0,225,6445.879913
2.0,225,6536.976238
3.0,225,6636.880872
0.0,225,6736.747555
1.0,225,6836.653531
2.0,225,6927.713939
3.0,225,7027.573225
3.0,225,7127.63899
2.0,225,7227.89871
2.0,225,7318.500271
0.0,225,7418.730303
2.0,225,7518.105336
2.0,225,7617.677359
3.0,225,7708.459689
2.0,225,7807.728752
2.0,225,7906.962056
3.0,225,8005.710877
2.0,225,8096.63677
3.0,225,8195.259058
0.0,225,8294.074228
4.0,225,8393.299248
2.0,225,8483.861293
2.0,225,8582.405756
2.0,225,8681.330241
0.0,225,8780.061401
3.0,225,8870.1904
0.0,225,8968.903162
1.0,225,9068.487339
0.0,225,9167.362313
2.0,225,9257.94431
3.0,225,9357.201662
2.0,225,9456.426103
2.0,225,9555.248416
2.0,225,9654.566962
2.0,225,9744.69433
2.0,225,9843.767874
1.0,225,9942.655669
2.0,225,10042.526421
2.0,225,10132.847517
3.0,225,10231.727894
0.0,225,10330.53737
0.0,225,10429.446673
2.0,225,10519.567316
3.0,225,10618.434168
0.0,225,10717.227881
2.0,225,10815.89764
3.0,225,10906.155934
2.0,225,11005.341042
2.0,225,11104.671725
2.0,225,11203.33722
0.0,225,11293.519458
3.0,225,11392.27291
2.0,225,11490.860499
0.0,225,11589.171364
0.0,225,11678.373178
2.0,225,11776.949995
2.0,225,11875.255035
1.0,225,11973.574743
0.0,225,12063.043705
3.0,225,12160.561471
0.0,225,12258.69363
0.0,225,12357.338485
0.0,225,12447.049139
0.0,225,12545.023226
2.0,225,12643.411672
0.0,225,12741.67006
0.0,225,12839.351505
2.0,225,12929.070585
2.0,225,13027.311918
0.0,225,13125.220106
3.0,225,13223.86051
2.0,225,13313.404294
3.0,225,13411.445066
3.0,225,13510.04152
3.0,225,13608.056886
2.0,225,13697.525666
2.0,225,13796.869561
3.0,225,13895.407843
0.0,225,13994.747614
2.0,225,14085.004487
2.0,225,14183.761851
1.0,225,14282.800833
3.0,225,14381.952909
1.0,225,14471.735476
3.0,225,14570.772087
0.0,225,14669.334921
2.0,225,14768.696552
1.0,225,14859.420764
2.0,225,14958.615057
2.0,225,15057.289856
3.0,225,15156.750623
0.0,225,15246.839586
10.0,225,15345.7416
3.0,225,15444.788509
3.0,225,15543.172385
0.0,225,15641.808002
2.0,225,15731.865324
2.0,225,15830.387301
2.0,225,15928.854754
3.0,225,16027.364254
2.0,225,16117.313389
0.0,225,16216.002576
0.0,225,16315.316245
3.0,225,16414.201294
2.0,225,16504.13823
2.0,225,16602.65659
3.0,225,16700.874163
0.0,225,16798.825668
2.0,225,16888.765672
2.0,225,16987.178933
3.0,225,17085.336366
3.0,225,17183.655763
0.0,225,17273.573741
3.0,225,17371.914977
3.0,225,17470.347564
2.0,225,17569.050287
2.0,225,17658.964138
2.0,225,17757.444451
1.0,225,17856.795397
0.0,225,17955.229634
3.0,225,18045.683548
0.0,225,18144.59929
3.0,225,18243.13904
1.0,225,18341.123286
2.0,225,18430.823684
3.0,225,18528.879882
0.0,225,18626.904846
2.0,225,18724.757702
3.0,225,18822.839895
3.0,225,18911.847925
2.0,225,19009.80981
2.0,225,19107.78733
2.0,225,19206.120598
2.0,225,19295.493713
0.0,225,19394.330893
0.0,225,19493.108425
0.0,225,19591.416739
3.0,225,19680.388318
2.0,225,19778.388373
0.0,225,19876.616232
0.0,225,19974.3945
1.0,225,20064.353263
2.0,225,20163.218158
0.0,225,20261.463461
2.0,225,20360.107507
0.0,225,20449.635806
2.0,225,20548.100868
0.0,225,20646.486917
0.0,225,20745.323478
12.0,225,20835.648531
1.0,225,20933.379622
0.0,225,21031.651303
2.0,225,21130.158899
3.0,225,21220.174011
2.0,225,21319.365529
2.0,225,21418.573196
2.0,225,21517.147905
2.0,225,21606.912117
2.0,225,21705.447222
2.0,225,21803.456121
3.0,225,21902.000122
3.0,225,22000.332189
2.0,225,22089.96011
2.0,225,22188.780443
2.0,225,22287.926138
0.0,225,22386.365065
2.0,225,22476.631101
0.0,225,22575.738308
2.0,225,22674.676231
2.0,225,22773.60493
2.0,225,22863.085255
2.0,225,22961.813523
1.0,225,23060.737499
3.0,225,23159.459871
0.0,225,23249.848165
0.0,225,23348.568754
2.0,225,23447.46059
3.0,225,23545.757057
2.0,225,23635.451519
2.0,225,23734.237289
2.0,225,23832.47391
2.0,225,23930.990545
1.0,225,24020.953779
0.0,225,24119.990123
2.0,225,24218.181816
1.0,225,24316.715297
0.0,225,24406.107182
2.0,225,24504.095181
0.0,225,24602.447251
2.0,225,24701.2923
1.0,225,24791.608443
2.0,225,24889.467963
2.0,225,24988.274539
2.0,225,25086.724603
0.0,225,25185.038266
3.0,225,25274.747014
1.0,225,25373.132446
0.0,225,25472.199013
0.0,225,25571.290144
0.0,225,25662.027643
4.0,225,25760.633939
2.0,225,25859.172384
0.0,225,25957.904696
2.0,225,26048.135814
0.0,225,26146.842752
2.0,225,26245.579531
2.0,225,26344.785343
0.0,225,26435.495436
1.0,225,26534.789317
2.0,225,26633.570952
2.0,225,26732.54867
0.0,225,26822.797611
3.0,225,26921.473267
3.0,225,27020.353612
2.0,225,27119.631011
0.0,225,27211.024935
1.0,225,27310.779252
2.0,225,27409.815233
3.0,225,27509.206698
0.0,225,27599.633153
0.0,225,27699.188298
0.0,225,27798.355577
2.0,225,27897.775389
2.0,225,27997.738057
0.0,225,28088.382073
2.0,225,28188.405384
0.0,225,28288.817907
1.0,225,28389.257476
3.0,225,28480.57104
0.0,225,28580.756361
3.0,225,28681.418185
0.0,225,28781.845571
2.0,225,28872.96749
3.0,225,28973.423023
3.0,225,29072.572062
0.0,225,29171.953351
0.0,225,29263.219762
3.0,225,29363.355494
2.0,225,29462.980696
2.0,225,29562.202911
2.0,225,29652.942005
