#{"t_start": 1568400185.7221975, "env_id": "DeepmindLabNavMazeStatic01-v0"}
r,l,t
0.0,225,104.481308
1.0,225,205.573877
2.0,225,306.864607
0.0,225,408.075439
1.0,225,500.510413
1.0,225,601.856564
3.0,225,702.622267
3.0,225,803.475349
2.0,225,895.426729
3.0,225,996.161911
2.0,225,1096.483283
0.0,225,1196.677614
3.0,225,1288.125827
2.0,225,1387.886524
2.0,225,1487.437786
1.0,225,1586.962419
3.0,225,1678.152958
2.0,225,1777.859969
0.0,225,1877.775309
0.0,225,1976.977023
3.0,225,2068.008345
0.0,225,2167.506882
0.0,225,2266.855147
2.0,225,2366.465847
3.0,225,2457.325444
2.0,225,2556.552477
2.0,225,2656.003446
3.0,225,2755.506412
2.0,225,2845.825454
2.0,225,2944.666036
2.0,225,3043.631481
1.0,225,3142.78922
0.0,225,3241.830383
2.0,225,3332.320845
0.0,225,3431.612842
2.0,225,3530.534191
3.0,225,3629.827905
1.0,225,3720.243863
2.0,225,3819.218469
0.0,225,3917.937809
3.0,225,4017.153891
3.0,225,4107.348945
0.0,225,4206.167376
2.0,225,4305.468599
2.0,225,4404.840813
2.0,225,4497.001324
2.0,225,4596.674928
3.0,225,4695.277618
2.0,225,4794.573942
3.0,225,4884.610622
3.0,225,4984.452271
3.0,225,5083.574124
2.0,225,5182.26629
2.0,225,5272.722665
2.0,225,5371.528424
3.0,225,5470.631096
1.0,225,5570.001403
2.0,225,5659.818247
0.0,225,5758.446967
2.0,225,5857.666511
2.0,225,5956.626778
0.0,225,6047.357677
2.0,225,6146.711929
2.0,225,6246.473443
3.0,225,6347.102105
0.0,225,6446.787886
0.0,225,6537.887673
2.0,225,6637.789528
2.0,225,6737.628451
2.0,225,6837.563543
2.0,225,6928.612349
3.0,225,7028.486997
2.0,225,7128.540022
0.0,225,7228.811155
2.0,225,7319.431561
0.0,225,7419.568031
2.0,225,7519.015153
0.0,225,7618.588483
2.0,225,7709.370035
1.0,225,7808.632654
2.0,225,7907.831434
2.0,225,8006.623729
1.0,225,8097.536231
3.0,225,8196.170804
2.0,225,8294.970576
2.0,225,8394.203566
2.0,225,8484.770682
3.0,225,8583.285444
3.0,225,8682.202281
0.0,225,8781.154347
0.0,225,8871.111877
2.0,225,8969.815058
0.0,225,9069.416942
1.0,225,9168.265429
2.0,225,9258.844759
2.0,225,9358.107929
3.0,225,9457.336362
0.0,225,9556.153359
2.0,225,9655.474656
2.0,225,9745.62273
2.0,225,9844.670575
3.0,225,9943.570028
2.0,225,10043.43471
0.0,225,10133.816747
3.0,225,10232.631478
0.0,225,10331.452118
1.0,225,10430.327693
0.0,225,10520.460476
2.0,225,10619.341599
1.0,225,10718.106067
1.0,225,10816.813483
3.0,225,10907.057508
2.0,225,11006.253691
0.0,225,11105.554145
0.0,225,11204.24322
0.0,225,11294.426913
0.0,225,11393.181432
2.0,225,11491.775056
1.0,225,11590.259004
2.0,225,11679.236026
3.0,225,11777.859019
2.0,225,11876.183727
2.0,225,11974.484768
2.0,225,12064.008419
0.0,225,12161.470989
0.0,225,12259.593243
0.0,225,12358.243479
3.0,225,12448.053435
0.0,225,12545.938565
0.0,225,12644.264121
0.0,225,12742.531879
2.0,225,12840.221518
0.0,225,12929.917815
2.0,225,13028.439804
0.0,225,13126.145994
2.0,225,13224.89431
0.0,225,13314.329155
2.0,225,13412.352669
0.0,225,13510.956788
0.0,225,13608.95308
2.0,225,13698.502104
2.0,225,13797.755011
3.0,225,13896.252203
2.0,225,13995.682261
0.0,225,14085.921491
3.0,225,14184.666304
2.0,225,14283.712661
3.0,225,14383.004178
2.0,225,14472.643656
3.0,225,14571.68033
2.0,225,14670.242709
3.0,225,14769.678714
2.0,225,14860.331373
3.0,225,14959.523933
2.0,225,15058.137931
2.0,225,15157.680668
0.0,225,15247.75054
0.0,225,15346.658278
0.0,225,15445.696715
0.0,225,15544.075383
2.0,225,15642.727488
3.0,225,15732.768539
2.0,225,15831.253463
3.0,225,15929.776096
2.0,225,16028.27532
