#{"t_start": 1568228451.716217, "env_id": "DeepmindLabNavMazeStatic01-v0"}
r,l,t
2.0,225,100.715884
11.0,225,198.912299
3.0,225,296.89102
0.0,225,395.223723
2.0,225,487.86591
2.0,225,591.418026
1.0,225,694.639091
2.0,225,797.286973
10.0,225,891.428039
3.0,225,994.423051
2.0,225,1096.888226
13.0,225,1199.536124
0.0,225,1291.884981
3.0,225,1388.385597
3.0,225,1485.045057
3.0,225,1580.956674
2.0,225,1668.659843
3.0,225,1764.203086
3.0,225,1860.66553
0.0,225,1956.577211
2.0,225,2043.651204
2.0,225,2139.244525
12.0,225,2235.783625
3.0,225,2332.007323
3.0,225,2419.660958
3.0,225,2515.571622
2.0,225,2611.996744
3.0,225,2707.657923
2.0,225,2795.027349
3.0,225,2890.745886
3.0,225,2986.923809
2.0,225,3081.918641
2.0,225,3177.009462
0.0,225,3263.800331
2.0,225,3359.744716
2.0,225,3455.713918
0.0,225,3551.911614
1.0,225,3639.57356
0.0,225,3735.672794
2.0,225,3832.042667
2.0,225,3928.271969
0.0,225,4015.966723
1.0,225,4112.286464
2.0,225,4208.476117
2.0,225,4304.458394
0.0,225,4392.097883
0.0,225,4488.027024
13.0,225,4583.854485
3.0,225,4680.416212
3.0,225,4768.19832
2.0,225,4864.657521
0.0,225,4960.807974
1.0,225,5056.805477
2.0,225,5144.22343
3.0,225,5240.086925
4.0,225,5336.678129
2.0,225,5432.763343
0.0,225,5520.235101
0.0,225,5616.489217
1.0,225,5712.289748
2.0,225,5808.48185
2.0,225,5895.462835
0.0,225,5991.290783
0.0,225,6087.216923
1.0,225,6183.356188
3.0,225,6278.925894
1.0,225,6366.439245
1.0,225,6462.351529
0.0,225,6558.240655
2.0,225,6654.596065
0.0,225,6742.271356
0.0,225,6838.432441
0.0,225,6934.423512
2.0,225,7030.542598
2.0,225,7118.240993
10.0,225,7214.436122
3.0,225,7310.782506
0.0,225,7407.162637
0.0,225,7494.722408
1.0,225,7590.874207
2.0,225,7686.718201
2.0,225,7783.125993
0.0,225,7870.541996
0.0,225,7966.73508
2.0,225,8062.773853
2.0,225,8158.765039
2.0,225,8245.947009
2.0,225,8341.370615
2.0,225,8437.359093
0.0,225,8533.723478
2.0,225,8621.107504
0.0,225,8717.090207
3.0,225,8812.907613
0.0,225,8908.550205
0.0,225,8995.723197
0.0,225,9091.638177
0.0,225,9187.4204
3.0,225,9283.185782
0.0,225,9379.224851
3.0,225,9466.011775
3.0,225,9561.625807
2.0,225,9657.500001
2.0,225,9752.907144
0.0,225,9839.2434
3.0,225,9934.781928
2.0,225,10030.21014
0.0,225,10125.888768
0.0,225,10213.370181
1.0,225,10309.44153
2.0,225,10405.574552
3.0,225,10501.291043
2.0,225,10589.302087
4.0,225,10685.667195
0.0,225,10781.942256
0.0,225,10877.93785
0.0,225,10965.23675
2.0,225,11063.547768
3.0,225,11165.026769
0.0,225,11267.005769
2.0,225,11359.657266
2.0,225,11461.517197
3.0,225,11564.044676
0.0,225,11665.841974
2.0,225,11758.363108
0.0,225,11860.61739
2.0,225,11961.405666
2.0,225,12062.568343
2.0,225,12155.008958
0.0,225,12257.161733
0.0,225,12357.894217
0.0,225,12459.840007
2.0,225,12561.197715
0.0,225,12655.237819
0.0,225,12757.851247
0.0,225,12860.120642
2.0,225,12961.154608
1.0,225,13053.224927
0.0,225,13154.015161
2.0,225,13255.156511
1.0,225,13356.663759
3.0,225,13451.042654
0.0,225,13552.798989
