#{"t_start": 1568228452.868029, "env_id": "DeepmindLabNavMazeStatic01-v0"}
r,l,t
1.0,225,99.770118
0.0,225,197.958793
0.0,225,295.941842
3.0,225,394.284315
2.0,225,486.795304
2.0,225,590.476511
1.0,225,693.69994
1.0,225,796.339543
2.0,225,890.489714
0.0,225,993.490658
0.0,225,1095.949139
1.0,225,1198.603999
0.0,225,1290.955531
3.0,225,1387.420032
0.0,225,1483.992707
0.0,225,1580.008568
3.0,225,1667.696968
5.0,225,1763.252766
2.0,225,1859.714111
2.0,225,1955.625716
1.0,225,2042.697116
0.0,225,2138.296241
2.0,225,2234.833991
1.0,225,2331.051826
1.0,225,2418.704379
2.0,225,2514.624597
2.0,225,2611.053934
0.0,225,2706.725798
0.0,225,2794.069035
0.0,225,2889.794773
2.0,225,2985.965766
0.0,225,3080.968222
0.0,225,3176.063999
0.0,225,3262.835403
0.0,225,3358.743449
0.0,225,3454.762726
2.0,225,3550.965551
3.0,225,3638.620377
2.0,225,3734.719678
2.0,225,3831.085944
2.0,225,3927.3314
3.0,225,4015.014753
3.0,225,4111.347668
1.0,225,4207.526748
0.0,225,4303.515742
2.0,225,4391.157057
1.0,225,4487.07404
0.0,225,4582.914133
3.0,225,4679.469488
12.0,225,4767.249863
3.0,225,4863.701428
2.0,225,4959.857203
3.0,225,5055.849345
2.0,225,5143.246863
2.0,225,5239.133637
0.0,225,5335.730542
3.0,225,5431.795268
0.0,225,5519.271161
3.0,225,5615.537307
2.0,225,5711.338128
0.0,225,5807.528911
3.0,225,5894.527663
2.0,225,5990.337787
1.0,225,6086.260122
2.0,225,6182.410581
3.0,225,6277.966972
0.0,225,6365.490582
2.0,225,6461.409004
3.0,225,6557.283218
2.0,225,6653.642425
1.0,225,6741.33082
2.0,225,6837.473863
0.0,225,6933.468488
0.0,225,7029.591359
3.0,225,7117.322662
0.0,225,7213.491238
1.0,225,7309.835164
2.0,225,7406.22649
2.0,225,7493.779199
1.0,225,7589.918947
0.0,225,7685.772025
0.0,225,7782.180454
2.0,225,7869.596851
2.0,225,7965.742085
0.0,225,8061.830455
2.0,225,8157.819023
0.0,225,8245.002822
2.0,225,8340.430804
4.0,225,8436.406541
3.0,225,8532.765242
0.0,225,8620.156308
10.0,225,8716.128851
1.0,225,8811.944562
4.0,225,8907.605953
2.0,225,8994.768564
3.0,225,9090.683334
10.0,225,9186.462745
1.0,225,9282.214706
2.0,225,9378.258923
0.0,225,9465.057117
2.0,225,9560.676078
0.0,225,9656.537477
0.0,225,9751.949339
0.0,225,9838.299302
2.0,225,9933.825592
2.0,225,10029.252244
2.0,225,10124.936007
2.0,225,10212.416788
2.0,225,10308.478231
3.0,225,10404.624018
0.0,225,10500.331716
2.0,225,10588.333538
3.0,225,10684.715262
2.0,225,10780.990339
2.0,225,10876.99972
2.0,225,10964.279399
2.0,225,11062.609516
2.0,225,11164.085545
1.0,225,11265.762933
2.0,225,11358.727369
3.0,225,11460.572834
3.0,225,11563.107795
2.0,225,11664.906137
0.0,225,11757.292607
0.0,225,11859.685596
3.0,225,11960.474682
0.0,225,12061.463088
2.0,225,12154.086459
2.0,225,12256.020342
3.0,225,12356.942606
0.0,225,12458.864006
2.0,225,12560.255598
0.0,225,12654.301161
1.0,225,12756.86153
3.0,225,12859.146454
3.0,225,12960.214745
2.0,225,13052.271626
0.0,225,13153.094551
2.0,225,13254.220094
2.0,225,13355.730624
2.0,225,13450.112154
2.0,225,13551.730066
2.0,225,13653.939251
12.0,225,13755.934452
0.0,225,13849.340803
0.0,225,13951.680739
0.0,225,14057.23554
2.0,225,14165.218991
3.0,225,14264.62721
0.0,225,14372.456808
5.0,225,14480.11674
3.0,225,14588.753949
3.0,225,14688.440495
0.0,225,14798.303179
1.0,225,14907.481123
0.0,225,15016.826828
2.0,225,15116.909189
1.0,225,15226.573672
2.0,225,15335.870902
0.0,225,15443.273141
0.0,225,15551.741397
2.0,225,15651.211503
0.0,225,15759.990801
0.0,225,15868.341327
3.0,225,15976.464752
2.0,225,16075.576437
1.0,225,16183.600536
2.0,225,16291.431645
2.0,225,16399.594723
2.0,225,16499.649797
3.0,225,16607.643313
3.0,225,16715.709938
2.0,225,16823.462153
3.0,225,16922.932295
0.0,225,17030.76277
2.0,225,17139.117371
0.0,225,17247.59672
0.0,225,17346.823439
2.0,225,17454.644125
2.0,225,17562.362521
3.0,225,17670.576923
1.0,225,17769.554583
2.0,225,17877.711388
3.0,225,17985.665071
2.0,225,18094.107917
0.0,225,18193.283161
0.0,225,18300.502253
0.0,225,18407.999085
2.0,225,18515.57653
0.0,225,18614.590848
2.0,225,18722.056037
0.0,225,18829.179991
12.0,225,18936.696414
3.0,225,19044.855789
0.0,225,19144.898849
2.0,225,19252.937928
2.0,225,19360.530397
3.0,225,19468.604244
0.0,225,19568.110794
0.0,225,19675.993873
0.0,225,19784.416019
2.0,225,19892.58358
2.0,225,19992.777099
2.0,225,20101.24174
3.0,225,20209.614077
0.0,225,20318.104755
1.0,225,20417.909199
0.0,225,20526.836042
0.0,225,20635.495527
2.0,225,20744.791271
2.0,225,20845.191634
3.0,225,20954.021001
3.0,225,21062.7407
0.0,225,21171.113667
1.0,225,21271.252231
0.0,225,21379.84262
2.0,225,21488.040441
2.0,225,21596.64983
0.0,225,21696.309999
0.0,225,21805.289386
2.0,225,21914.205056
3.0,225,22022.820788
2.0,225,22123.18159
3.0,225,22232.049124
0.0,225,22341.418749
0.0,225,22449.842062
2.0,225,22559.308841
0.0,225,22659.950172
0.0,225,22768.937972
2.0,225,22878.335778
3.0,225,22986.976578
0.0,225,23087.20866
2.0,225,23195.616117
2.0,225,23304.482247
0.0,225,23413.672741
0.0,225,23513.010687
3.0,225,23621.019389
3.0,225,23728.832393
0.0,225,23836.651798
0.0,225,23935.974666
2.0,225,24043.753492
3.0,225,24151.933311
2.0,225,24260.767242
2.0,225,24360.56489
3.0,225,24469.075831
2.0,225,24577.160723
2.0,225,24684.799447
0.0,225,24783.909177
2.0,225,24891.903047
2.0,225,24999.584009
2.0,225,25107.178445
12.0,225,25206.112228
2.0,225,25314.078677
0.0,225,25422.01121
2.0,225,25529.123587
2.0,225,25628.816154
4.0,225,25737.745538
2.0,225,25845.300907
2.0,225,25953.06203
3.0,225,26060.741199
2.0,225,26159.67556
3.0,225,26267.560179
2.0,225,26375.625285
2.0,225,26483.80524
2.0,225,26582.797951
10.0,225,26691.095443
2.0,225,26799.330108
3.0,225,26907.400169
2.0,225,27007.127232
2.0,225,27116.348847
3.0,225,27225.220212
2.0,225,27333.818753
3.0,225,27432.772505
2.0,225,27541.370921
0.0,225,27649.818816
3.0,225,27758.024243
2.0,225,27857.756207
0.0,225,27966.149841
3.0,225,28074.236184
2.0,225,28182.438365
0.0,225,28282.147682
0.0,225,28390.370129
2.0,225,28498.805331
2.0,225,28607.503916
0.0,225,28706.885763
0.0,225,28815.651954
0.0,225,28924.467055
0.0,225,29033.005966
3.0,225,29141.214589
3.0,225,29240.622481
0.0,225,29349.316498
3.0,225,29457.797397
2.0,225,29565.685068
1.0,225,29665.079819
0.0,225,29774.219142
2.0,225,29883.086133
2.0,225,29991.7486
0.0,225,30092.573782
0.0,225,30201.098975
2.0,225,30310.15425
2.0,225,30418.198221
3.0,225,30517.430588
0.0,225,30625.921107
0.0,225,30734.273686
0.0,225,30843.223413
3.0,225,30939.284682
3.0,225,31039.267829
2.0,225,31139.132685
3.0,225,31239.414625
2.0,225,31329.9627
3.0,225,31430.153586
3.0,225,31530.731025
3.0,225,31630.780701
2.0,225,31721.941365
3.0,225,31822.115354
2.0,225,31922.527146
0.0,225,32022.712317
3.0,225,32114.574622
0.0,225,32215.104646
0.0,225,32315.992226
2.0,225,32416.039198
1.0,225,32516.604331
10.0,225,32608.963683
11.0,225,32709.070412
0.0,225,32809.69833
2.0,225,32909.814968
2.0,225,33000.812462
0.0,225,33101.360391
3.0,225,33202.052251
0.0,225,33302.246631
0.0,225,33393.899633
2.0,225,33493.254054
2.0,225,33593.344587
0.0,225,33694.157624
0.0,225,33785.834336
0.0,225,33886.221863
3.0,225,33985.561584
2.0,225,34085.243597
3.0,225,34176.330483
2.0,225,34276.312227
0.0,225,34376.023098
2.0,225,34475.817669
2.0,225,34567.57378
0.0,225,34667.846643
3.0,225,34768.548703
3.0,225,34869.137794
2.0,225,34960.868231
2.0,225,35061.683934
2.0,225,35162.44909
3.0,225,35263.229375
0.0,225,35355.022761
3.0,225,35455.088611
3.0,225,35555.21615
0.0,225,35654.962413
3.0,225,35754.660365
0.0,225,35846.182326
0.0,225,35946.551838
0.0,225,36046.690855
2.0,225,36145.562021
2.0,225,36236.205655
2.0,225,36335.637014
3.0,225,36434.886775
0.0,225,36534.600028
0.0,225,36625.501111
0.0,225,36724.601771
0.0,225,36823.815806
2.0,225,36923.248724
13.0,225,37013.388529
0.0,225,37112.777028
0.0,225,37212.870999
3.0,225,37312.356559
0.0,225,37404.091251
0.0,225,37503.546887
12.0,225,37603.709948
0.0,225,37703.809584
0.0,225,37794.568434
2.0,225,37894.961884
2.0,225,37994.793636
2.0,225,38094.881642
0.0,225,38186.145685
0.0,225,38286.564858
2.0,225,38386.032111
1.0,225,38486.279989
2.0,225,38577.144778
3.0,225,38677.332584
2.0,225,38777.052166
2.0,225,38876.573521
1.0,225,38976.354056
0.0,225,39066.87685
2.0,225,39166.620105
1.0,225,39266.64425
2.0,225,39366.642943
3.0,225,39457.600618
2.0,225,39557.804158
2.0,225,39657.369269
0.0,225,39757.299463
3.0,225,39849.001414
0.0,225,39949.179471
2.0,225,40048.537228
3.0,225,40148.542238
0.0,225,40239.128156
2.0,225,40338.456506
0.0,225,40438.228055
1.0,225,40537.941315
2.0,225,40628.893815
0.0,225,40727.993722
2.0,225,40827.836058
2.0,225,40926.854706
2.0,225,41017.452972
0.0,225,41117.81775
0.0,225,41217.174247
0.0,225,41316.627846
3.0,225,41407.559344
2.0,225,41507.41525
2.0,225,41606.93907
2.0,225,41706.845425
3.0,225,41806.599633
3.0,225,41897.491173
1.0,225,41996.741904
2.0,225,42095.7865
2.0,225,42195.431941
3.0,225,42286.196516
2.0,225,42385.806494
0.0,225,42485.267362
2.0,225,42585.198859
3.0,225,42676.68553
3.0,225,42776.67328
0.0,225,42876.759589
1.0,225,42976.025926
2.0,225,43067.57865
2.0,225,43168.211268
2.0,225,43268.757435
2.0,225,43369.098373
0.0,225,43460.285111
2.0,225,43560.946848
2.0,225,43660.643271
0.0,225,43760.564689
2.0,225,43851.686037
3.0,225,43951.995089
3.0,225,44051.711581
0.0,225,44151.394819
3.0,225,44242.652319
2.0,225,44343.498767
0.0,225,44444.413131
3.0,225,44544.726926
2.0,225,44635.925775
2.0,225,44735.150519
3.0,225,44835.57332
3.0,225,44935.513195
2.0,225,45035.220353
2.0,225,45125.76799
2.0,225,45225.748506
1.0,225,45325.400676
3.0,225,45426.178541
3.0,225,45517.040233
3.0,225,45617.418168
3.0,225,45716.87882
3.0,225,45816.444563
3.0,225,45907.040599
3.0,225,46005.869858
2.0,225,46104.823016
0.0,225,46203.617927
2.0,225,46293.705903
3.0,225,46392.961864
1.0,225,46492.367095
0.0,225,46591.667373
3.0,225,46682.137459
3.0,225,46781.408727
3.0,225,46880.737864
2.0,225,46979.800095
