#{"t_start": 1568536518.9139423, "env_id": "DeepmindLabNavMazeStatic01-v0"}
r,l,t
0.0,900,108.05363
2.0,900,270.475124
3.0,900,432.381874
0.0,900,593.518674
0.0,900,754.724739
0.0,900,915.825762
0.0,900,1076.150914
2.0,900,1236.598099
0.0,900,1396.388655
3.0,900,1556.14043
0.0,900,1714.905586
2.0,900,1872.684652
0.0,900,2030.667643
0.0,900,2188.215059
0.0,900,2346.592578
1.0,900,2503.550338
1.0,900,2660.49024
1.0,900,2817.720785
0.0,900,2973.466402
0.0,900,3130.412126
0.0,900,3287.180906
1.0,900,3443.772976
0.0,900,3599.557595
0.0,900,3756.33586
0.0,900,3913.342252
0.0,900,4068.629369
0.0,900,4225.538844
0.0,900,4380.561467
1.0,900,4535.200346
0.0,900,4692.541619
3.0,900,4847.876452
0.0,900,5002.579552
0.0,900,5158.894619
1.0,900,5312.462224
1.0,900,5469.023108
0.0,900,5625.072923
0.0,900,5783.383743
1.0,900,5940.443444
0.0,900,6095.24088
1.0,900,6249.790447
0.0,900,6404.109375
0.0,900,6558.330554
0.0,900,6713.679872
0.0,900,6869.582035
0.0,900,7025.010145
0.0,900,7179.425161
1.0,900,7335.949413
0.0,900,7491.599789
0.0,900,7646.545517
0.0,900,7802.324562
0.0,900,7957.475135
0.0,900,8111.582307
0.0,900,8265.230922
0.0,900,8418.765988
0.0,900,8572.044983
0.0,900,8724.519516
0.0,900,8877.135112
1.0,900,9029.835136
0.0,900,9183.525448
1.0,900,9337.781714
0.0,900,9489.308499
0.0,900,9640.656706
0.0,900,9793.449604
1.0,900,9944.862207
0.0,900,10097.393635
0.0,900,10248.407872
0.0,900,10399.759927
0.0,900,10549.613576
0.0,900,10700.029521
0.0,900,10850.907398
0.0,900,11000.735642
0.0,900,11151.865395
0.0,900,11301.713675
1.0,900,11451.341599
0.0,900,11600.253475
0.0,900,11750.994249
0.0,900,11901.976653
3.0,900,12052.916361
0.0,900,12204.683471
2.0,900,12356.302046
0.0,900,12507.269484
0.0,900,12657.410201
0.0,900,12808.117752
0.0,900,12959.243071
1.0,900,13110.37488
2.0,900,13261.815657
1.0,900,13413.46111
0.0,900,13565.739873
0.0,900,13718.771376
0.0,900,13870.520561
0.0,900,14022.005588
0.0,900,14174.317392
0.0,900,14324.609955
0.0,900,14475.475974
1.0,900,14628.082023
1.0,900,14780.554391
0.0,900,14934.657494
2.0,900,15086.973483
2.0,900,15238.887691
0.0,900,15390.971057
1.0,900,15543.122883
0.0,900,15697.221313
0.0,900,15849.945456
0.0,900,16003.305278
0.0,900,16157.721427
0.0,900,16311.859854
0.0,900,16466.823394
2.0,900,16622.297927
1.0,900,16777.483257
3.0,900,16933.690018
0.0,900,17088.803221
0.0,900,17242.738365
2.0,900,17396.581617
2.0,900,17551.791449
1.0,900,17705.039264
0.0,900,17858.842689
0.0,900,18013.765126
0.0,900,18167.864534
1.0,900,18321.749522
1.0,900,18476.109468
0.0,900,18630.496426
1.0,900,18783.883531
0.0,900,18938.323445
0.0,900,19093.554082
0.0,900,19247.658908
0.0,900,19402.055788
2.0,900,19554.47801
0.0,900,19706.185909
2.0,900,19858.090534
0.0,900,20009.465517
0.0,900,20162.089572
0.0,900,20312.500231
0.0,900,20463.545133
0.0,900,20614.335779
0.0,900,20765.081711
0.0,900,20915.929721
2.0,900,21067.992756
0.0,900,21219.246686
0.0,900,21370.95741
1.0,900,21522.693582
2.0,900,21674.703147
0.0,900,21825.515194
0.0,900,21977.92504
2.0,900,22129.88183
0.0,900,22280.799063
0.0,900,22432.072661
0.0,900,22585.729546
1.0,900,22737.89801
1.0,900,22891.283026
2.0,900,23044.021292
3.0,900,23198.285896
0.0,900,23350.772206
0.0,900,23504.461396
0.0,900,23658.136342
0.0,900,23813.382611
0.0,900,23967.577715
2.0,900,24121.247257
0.0,900,24276.46367
0.0,900,24434.38251
2.0,900,24590.875826
2.0,900,24747.564059
0.0,900,24902.776278
1.0,900,25055.516235
2.0,900,25207.374994
0.0,900,25358.521644
0.0,900,25509.873633
0.0,900,25663.740571
0.0,900,25816.82972
1.0,900,25969.853725
0.0,900,26122.436712
0.0,900,26274.265382
0.0,900,26426.030035
1.0,900,26577.571965
0.0,900,26730.251521
2.0,900,26882.942664
2.0,900,27035.428723
0.0,900,27188.180921
1.0,900,27339.648994
2.0,900,27491.343195
0.0,900,27642.905436
0.0,900,27795.713752
0.0,900,27948.699927
0.0,900,28100.044452
0.0,900,28252.157726
0.0,900,28405.305356
1.0,900,28559.61905
2.0,900,28713.770854
2.0,900,28867.679451
1.0,900,29021.668948
2.0,900,29174.091834
0.0,900,29327.849454
2.0,900,29480.989927
1.0,900,29634.36409
0.0,900,29786.555267
0.0,900,29939.118721
2.0,900,30092.886463
0.0,900,30245.312689
1.0,900,30398.570325
2.0,900,30551.35342
0.0,900,30704.48782
0.0,900,30856.491882
1.0,900,31009.493398
0.0,900,31161.405372
1.0,900,31313.43751
0.0,900,31465.940985
1.0,900,31618.066235
2.0,900,31769.42922
0.0,900,31922.085726
0.0,900,32074.493211
0.0,900,32226.559879
0.0,900,32380.005452
0.0,900,32533.228716
2.0,900,32688.321284
3.0,900,32843.573084
