recent_best_ext_ret,vpredstd,retstd,opt_aux,ups,opt_vf,ev,vpredmean,opt_clipfrac,opt_pg,opt_ent,opt_feat_var,retmean,opt_tot,advstd,n_updates,opt_approxkl,rew_mean,opt_dyn_loss,advmean,tps,rank,total_secs,best_ext_ret,tcount,eprew_recent,epcount,eprew,eplen
3.0,0.8715483,0.9088759,0.8920038,0.006361662036261436,0.035522826,0.9204107150435448,2.3923542,0.0,-0.07073269,1.5327355,9.060394,2.387719,-0.036742598,0.25640818,21,8.0247136e-14,3.2795284,3.5210736,-0.00463525,732.8634665773175,0,3344.5209517478943,13.0,2304000.0,0.75,2560.0,0.71,900.0
12.0,0.81760454,0.8582384,0.8390408,0.00639801081376439,0.033654656,0.9078788384795189,2.4340143,0.0,0.04012276,1.5430759,8.964464,2.445321,0.07223434,0.26048794,22,7.534501e-14,3.6962996,3.251193,0.0113069825,737.0508457456577,0,3500.8195309638977,13.0,2419200.0,0.796875,2688.0,0.74,900.0
12.0,0.8590726,0.8873089,0.808842,0.006400511525255809,0.033308417,0.9141060709953308,2.4695377,0.0,0.035907693,1.5049003,10.382411,2.468956,0.067711204,0.26004952,23,8.479425e-14,3.838473,3.567038,-0.0005816946,737.3389277094692,0,3657.0570435523987,13.0,2534400.0,0.8515625,2816.0,0.83,900.0
3.0,0.7958589,0.8262507,0.82539564,0.00638791683072719,0.030651245,0.9001908525824547,2.5710442,0.0,0.04090764,1.4687581,10.981579,2.5750575,0.07009013,0.26103395,24,8.355833e-14,4.253547,3.835808,0.0040132552,735.8880188997723,0,3813.602600812912,13.0,2649600.0,0.6953125,2944.0,0.59,900.0
10.0,0.82131284,0.8756892,0.7508095,0.006392264224943038,0.025737809,0.9269224554300308,2.4835055,0.0,0.0754484,1.4682066,12.340508,2.50293,0.099718004,0.23672383,25,8.833255e-14,4.4062576,4.176203,0.019424787,736.388838713438,0,3970.0416910648346,13.0,2764800.0,0.84375,3072.0,0.85,900.0
3.0,0.8156579,0.85097116,0.7996551,0.006426864304561005,0.030876685,0.9251667410135269,2.6215782,0.0,-0.08407815,1.408022,13.204792,2.635819,-0.05460949,0.23278886,26,9.318642e-14,4.82639,4.986837,0.014241181,740.3747678854278,0,4125.638565778732,13.0,2880000.0,0.6171875,3200.0,0.64,900.0
3.0,0.9227276,0.93545395,0.7540412,0.006371802653730603,0.027365727,0.9199788495898247,2.687412,0.0,0.075762756,1.4292054,13.45196,2.6819243,0.10169928,0.26462132,27,9.712481e-14,5.0477095,4.5173335,-0.005487557,734.0316657097654,0,4282.5800240039825,13.0,2995200.0,0.71875,3328.0,0.77,900.0
10.0,0.80611664,0.8152751,0.7257244,0.006453692295430447,0.027471093,0.9159143641591072,2.7704544,0.0,-0.010600215,1.3739588,15.2458515,2.7632327,0.01549692,0.23640957,28,1.09713325e-13,5.403182,5.16262,-0.0072219456,743.4653524335876,0,4437.530082702637,13.0,3110400.0,0.78125,3456.0,0.84,900.0
3.0,0.80102086,0.8110331,0.76129955,0.006466894017073204,0.03198148,0.9111886471509933,2.8509405,0.0,-0.014681227,1.3353252,16.713047,2.8451164,0.015964927,0.24169788,29,1.088744e-13,5.908597,5.7748356,-0.0058238655,744.986190766833,0,4592.1638214588165,13.0,3225600.0,0.59375,3584.0,0.61,900.0
3.0,0.7993707,0.8066362,0.68497163,0.006355651101414208,0.023068935,0.9206158146262169,2.7569537,0.0,0.026453178,1.3130531,15.846538,2.7476692,0.04820906,0.22727136,30,1.1320653e-13,5.8155107,5.4594226,-0.009283788,732.1710068829167,0,4749.504113435745,13.0,3340800.0,0.6796875,3712.0,0.65,900.0
10.0,0.70193684,0.7058551,0.6789949,0.006436662191075748,0.018350031,0.9127230644226074,2.7615705,0.0,0.021640189,1.3061748,16.359928,2.7365973,0.038684048,0.20852843,31,1.1784664e-13,5.8536677,5.2180343,-0.024972918,741.5034844119261,0,4904.86413860321,13.0,3456000.0,0.7421875,3840.0,0.72,900.0
3.0,0.73667836,0.75128275,0.6355058,0.006469645003869574,0.022949282,0.9247902557253838,2.7636647,0.0,0.013012721,1.2572694,20.520672,2.7580326,0.034704734,0.20603475,32,1.2134408e-13,6.2787037,6.583366,-0.005632489,745.303104445775,0,5059.432124853134,13.0,3571200.0,0.640625,3968.0,0.7,900.0
3.0,0.62446976,0.63134086,0.6257312,0.006390313890690963,0.024508467,0.9014747813344002,2.7676125,0.0,0.003995269,1.2547779,21.851788,2.7677493,0.027248958,0.19816986,33,1.27634e-13,6.5795903,7.224514,0.0001365342,736.1641602075989,0,5215.918960571289,13.0,3686400.0,0.640625,4096.0,0.69,900.0
3.0,0.62049484,0.6362991,0.63302827,0.0065141851188437105,0.02211482,0.9037845432758331,2.8265715,0.0,-0.056093216,1.2206124,23.045368,2.8178523,-0.03519901,0.19737117,34,1.2616946e-13,6.8901105,7.360549,-0.008719069,750.4341256907954,0,5369.430103063583,13.0,3801600.0,0.546875,4224.0,0.54,900.0
3.0,0.66739213,0.66978884,0.50576717,0.006384642895769126,0.020952541,0.9183400347828865,2.7348285,0.0,-0.019459313,1.2114166,23.052624,2.7099447,0.00028181262,0.19140023,35,1.464465e-13,6.5412874,7.3113813,-0.024883812,735.5108615926033,0,5526.05593419075,13.0,3916800.0,0.6796875,4352.0,0.7,900.0
2.0,0.6282337,0.6343121,0.49176016,0.006403535340505014,0.019081281,0.9187502339482307,2.808158,0.0,0.0058243615,1.1907302,22.782948,2.7854617,0.023714913,0.18080652,36,1.4231952e-13,6.9394836,7.0166216,-0.022696154,737.6872712261777,0,5682.219669818878,13.0,4032000.0,0.5703125,4480.0,0.59,900.0
3.0,0.613778,0.62922454,0.5471318,0.006317966455761951,0.015383466,0.9299555793404579,2.6513596,0.0,-0.058736548,1.1720542,23.270256,2.6560307,-0.044525135,0.16652997,37,1.3083213e-13,6.973026,7.2362,0.004670701,727.8297357037768,0,5840.49844622612,13.0,4147200.0,0.578125,4608.0,0.59,900.0
3.0,0.5665902,0.61644405,0.5690905,0.006378821419369921,0.015540697,0.9129493311047554,2.6967146,0.0,0.03784089,1.1719877,26.793701,2.7511492,0.0522096,0.18187782,38,1.3768952e-13,8.209788,8.081106,0.054434504,734.8402275114149,0,5997.267218112946,13.0,4262400.0,0.53125,4736.0,0.52,900.0
3.0,0.65560395,0.6729067,0.5286859,0.006454351090311948,0.024871796,0.9259087592363358,2.7779467,0.0,-0.07452684,1.1943489,26.156878,2.7910223,-0.050849393,0.18316323,39,1.4745238e-13,8.011647,8.661042,0.013075073,743.5412456039364,0,6152.201461076736,13.0,4377600.0,0.6640625,4864.0,0.6,900.0
2.0,0.74669445,0.7639943,0.54399735,0.006476861917360978,0.015930189,0.9324537068605423,2.9292746,0.0,0.09682409,1.203951,25.32995,2.9351716,0.11155032,0.19855958,40,1.4368872e-13,8.786887,7.46413,0.0058967336,746.1344928799847,0,6306.59721827507,13.0,4492800.0,0.515625,4992.0,0.55,900.0
3.0,0.6508026,0.7045534,0.52142256,0.00647597975660962,0.03298222,0.9101013392210007,2.8767996,0.0,-0.07711385,1.1584532,29.911114,2.9098346,-0.045290086,0.21124701,41,1.5525833e-13,9.416102,10.659242,0.033034947,746.0328679614282,0,6461.014007329941,13.0,4608000.0,0.546875,5120.0,0.58,900.0
3.0,0.76288545,0.7308143,0.3682388,0.006486791500503915,0.028946105,0.9277812838554382,2.9736068,0.0,0.15091354,1.1336372,31.633224,2.9044402,0.178726,0.19639567,42,1.644631e-13,8.012549,8.415956,-0.06916647,747.278380858051,0,6615.173424959183,13.0,4723200.0,0.640625,5248.0,0.59,900.0
3.0,0.73885435,0.7290162,0.49281296,0.006436176761996886,0.014018099,0.9365551769733429,2.977504,0.0,0.03643426,1.1502286,26.435205,2.9066083,0.04930213,0.18362646,43,1.3994516e-13,8.09184,7.4088607,-0.070895635,741.4475629820413,0,6770.545167684555,13.0,4838400.0,0.7265625,5376.0,0.75,900.0
3.0,0.70222133,0.68925625,0.41902384,0.006398141008883137,0.021977624,0.9385094009339809,2.8776479,0.0,0.0020273887,1.182647,28.928715,2.8098397,0.022822365,0.17091693,44,1.4832195e-13,7.9397297,8.492616,-0.06780803,737.0658442233373,0,6926.840566396713,13.0,4953600.0,0.546875,5504.0,0.57,900.0
3.0,0.6404131,0.6407624,0.5358944,0.00643774349126458,0.012844798,0.937436506152153,2.8129044,0.0,0.004210609,1.1929456,27.267641,2.7677553,0.015862461,0.16027194,45,1.3347647e-13,8.224847,7.558043,-0.04514974,741.6280501936797,0,7082.174496889114,13.0,5068800.0,0.4765625,5632.0,0.51,900.0
2.0,0.63336664,0.6434141,0.47313172,0.006473198674991835,0.010267921,0.9357992485165596,2.8047075,0.0,0.00974826,1.2123498,31.697792,2.7873058,0.018803831,0.16302739,46,1.500961e-13,8.8686,8.729529,-0.017401902,745.7124873590594,0,7236.657628059387,13.0,5184000.0,0.46875,5760.0,0.5,900.0
3.0,0.60640895,0.6128826,0.4736335,0.006401659561082657,0.014101319,0.9363307952880859,2.7411597,0.0,0.040168144,1.1751928,34.78309,2.729021,0.05309427,0.15464719,47,1.5169116e-13,9.004584,9.444834,-0.012138531,737.4711814367221,0,7392.867121934891,13.0,5299200.0,0.5234375,5888.0,0.49,900.0
3.0,0.6100147,0.6261621,0.5266633,0.006420241217216203,0.013078241,0.9352816715836525,2.7731533,0.0,0.09357915,1.1580763,31.204048,2.7605622,0.10549932,0.15929438,48,1.5191845e-13,9.183521,8.589255,-0.012591179,739.6117882233066,0,7548.624509572983,13.0,5414400.0,0.5859375,6016.0,0.57,900.0
3.0,0.61364985,0.6254417,0.4189706,0.0064594214734318275,0.0146326935,0.9373648539185524,2.794485,0.0,-0.024833206,1.134427,34.5949,2.7762806,-0.01133494,0.15652938,49,1.5868365e-13,9.2765665,9.851808,-0.018204609,744.1253537393465,0,7703.437135457993,13.0,5529600.0,0.5546875,6144.0,0.56,900.0
11.0,0.6127714,0.63014287,0.34742776,0.006409525876164833,0.008514256,0.9362479224801064,2.7778068,0.0,-0.010563644,1.1309917,34.48656,2.7644515,-0.003180379,0.15910587,50,1.5554066e-13,9.386548,9.515601,-0.013355508,738.3773809341886,0,7859.454915761948,13.0,5644800.0,0.5859375,6272.0,0.63,900.0
3.0,0.6512964,0.67403036,0.44056588,0.006447885278660578,0.009779376,0.9403665326535702,2.7861912,0.0,0.09133104,1.1410353,35.50487,2.7921727,0.09996939,0.16459797,51,1.6006505e-13,10.01207,9.572946,0.005981746,742.7963841016985,0,8014.544523715973,13.0,5760000.0,0.515625,6400.0,0.53,900.0
3.0,0.6822293,0.70312107,0.36385927,0.006489760831119357,0.017019937,0.9276754185557365,2.8606553,0.0,-0.035802774,1.1557859,38.27068,2.8695605,-0.019938624,0.18909197,52,1.7096148e-13,10.637013,11.205104,0.00890531,747.62044774495,0,8168.633407115936,13.0,5875200.0,0.3984375,6528.0,0.41,900.0
3.0,0.60622257,0.6263897,0.43925324,0.006509068391665966,0.013522918,0.926892064511776,2.7217677,0.0,0.025357474,1.1558309,36.850964,2.715194,0.037724562,0.16936624,53,1.5504256e-13,9.933894,9.599102,-0.0065737274,749.8446787199192,0,8322.265223503113,13.0,5990400.0,0.5,6656.0,0.49,900.0
3.0,0.697479,0.7274023,0.45696527,0.006502633385719561,0.018454527,0.9281131476163864,2.820611,0.0,0.0030062676,1.147578,37.819843,2.8241677,0.020313216,0.19502911,54,1.6429445e-13,10.766625,10.898208,0.0035569621,749.1033660348935,0,8476.049073934555,13.0,6105600.0,0.6953125,6784.0,0.68,900.0
10.0,0.66048485,0.681523,0.44776794,0.006523825697834622,0.020636756,0.927922435104847,2.845623,0.0,-0.07160457,1.1428597,37.75656,2.8368075,-0.052110676,0.18297029,55,1.7155328e-13,10.773403,11.19636,-0.008815786,751.5447203905485,0,8629.333365440369,13.0,6220800.0,0.7109375,6912.0,0.65,900.0
3.0,0.68191034,0.6986988,0.4128273,0.006574534365235324,0.014870104,0.9310106262564659,2.8721511,0.0,0.044875767,1.1765907,41.108162,2.8581295,0.05856928,0.18351904,56,1.6695124e-13,10.901897,10.805614,-0.014021604,757.3863588751093,0,8781.435391902924,13.0,6336000.0,0.7421875,7040.0,0.74,900.0
3.0,0.6772571,0.6907163,0.4737534,0.006562742145912086,0.010709692,0.9275617375969887,2.8485055,0.0,0.06143092,1.2147869,34.622585,2.8387613,0.070925824,0.18590185,57,1.5645062e-13,11.011475,9.40615,-0.009744097,756.0278952090723,0,8933.810721874237,13.0,6451200.0,0.5390625,7168.0,0.59,900.0
3.0,0.67167515,0.6778476,0.37695998,0.00652340664677035,0.016326448,0.9409903921186924,2.8447244,0.0,-0.0087826485,1.173621,42.109276,2.8230395,0.0063701784,0.16466202,58,1.8869699e-13,10.860652,12.303545,-0.021685006,751.4964457079443,0,9087.104860067368,13.0,6566400.0,0.5859375,7296.0,0.57,900.0
12.0,0.6013892,0.618221,0.42087275,0.00652788982432826,0.010808697,0.9267611056566238,2.7133625,0.0,0.011762068,1.2026693,38.50747,2.7070293,0.021368096,0.1673072,59,1.6490356e-13,10.948054,11.173791,-0.0063330173,752.0129077626156,0,9240.293720006943,13.0,6681600.0,0.59375,7424.0,0.65,900.0
10.0,0.675309,0.68278813,0.38982314,0.0064689784838307006,0.017106837,0.9413565322756767,2.7433968,0.0,-0.11937223,1.1549941,39.583443,2.724899,-0.103420384,0.1653468,60,1.7248995e-13,10.772613,11.683068,-0.018497512,745.2263213372967,0,9394.877631902695,13.0,6796800.0,0.6875,7552.0,0.71,900.0
3.0,0.65193194,0.6655683,0.4124889,0.006607622444717369,0.01935885,0.9282405972480774,2.7734532,0.0,-0.03432472,1.1732945,40.87571,2.774726,-0.016139166,0.17829208,61,1.7999755e-13,11.516555,12.578264,0.0012727987,761.198105631441,0,9546.217998027802,13.0,6912000.0,0.625,7680.0,0.62,900.0
3.0,0.65639734,0.66024256,0.42444944,0.0066059259003179915,0.011971369,0.946656908839941,2.7749145,0.0,-0.0667857,1.1836699,40.37669,2.780878,-0.055997998,0.15249042,62,1.8221628e-13,11.687795,11.971122,0.005963783,761.0026637166326,0,9697.59723162651,13.0,7027200.0,0.5390625,7808.0,0.57,900.0
3.0,0.6340143,0.6437394,0.38455328,0.006543348301065142,0.010380306,0.9428707510232925,2.7297246,0.0,0.037768673,1.1887611,39.656494,2.72017,0.046960216,0.15386483,63,1.8619142e-13,11.247552,11.27522,-0.009554906,753.7937242827044,0,9850.42418718338,13.0,7142400.0,0.515625,7936.0,0.48,900.0
3.0,0.6012241,0.6135483,0.39942497,0.006606728690080176,0.011337422,0.9425517842173576,2.6961453,0.0,-0.0040864614,1.20798,42.86903,2.6975446,0.0060429806,0.14705744,64,1.8240037e-13,11.50104,11.994328,0.0013999486,761.0951450972362,0,10001.785026550293,13.0,7257600.0,0.6640625,8064.0,0.7,900.0
3.0,0.60681474,0.62298846,0.42130777,0.006560533684539516,0.014132706,0.9335073605179787,2.6403875,0.0,0.011865684,1.2152107,39.962658,2.656967,0.02478318,0.16064484,65,1.9295332e-13,11.8401,12.206282,0.01657938,755.7734804589522,0,10154.211650371552,13.0,7372800.0,0.6171875,8192.0,0.65,900.0
3.0,0.62783587,0.6364933,0.36263958,0.006613525943934193,0.010214385,0.9376012571156025,2.826882,0.0,0.00082682294,1.2122393,41.249695,2.823835,0.009828968,0.15899438,66,1.9051275e-13,12.268194,12.401408,-0.0030470302,761.8781887412191,0,10305.416923999786,13.0,7488000.0,0.5546875,8320.0,0.6,900.0
3.0,0.6014683,0.6107451,0.4154954,0.006624351416354016,0.0129277175,0.9343406483530998,2.7333674,0.0,-0.083439365,1.2098693,43.339367,2.7241306,-0.07172152,0.1564978,67,1.89339e-13,11.793274,12.422467,-0.0092369635,763.1252831639827,0,10456.37509894371,13.0,7603200.0,0.4453125,8448.0,0.44,900.0
3.0,0.5866792,0.5941505,0.41410178,0.0066663815620284245,0.0093161,0.9341253414750099,2.7907557,0.0,0.0656852,1.2310709,40.617004,2.785212,0.073770225,0.15249501,68,1.8333189e-13,12.321819,10.720638,-0.00554345,767.9671559456746,0,10606.381514072418,13.0,7718400.0,0.7578125,8576.0,0.75,900.0
3.0,0.5970828,0.5988418,0.37310264,0.006633154028062958,0.012954914,0.9376204609870911,2.7575092,0.0,-0.031499345,1.227737,44.88095,2.7545476,-0.019772168,0.1495661,69,2.0172904e-13,12.2602415,12.882868,-0.0029618312,764.1393440328527,0,10757.13935804367,13.0,7833600.0,0.53125,8704.0,0.49,900.0
3.0,0.59509236,0.6072485,0.40890327,0.0066333972083395904,0.0071269926,0.9490043744444847,2.7057617,0.0,0.0804837,1.2607411,41.471012,2.7040062,0.08634995,0.13713013,70,1.8388326e-13,12.132913,10.773201,-0.0017556181,764.1673584007208,0,10907.891675233841,13.0,7948800.0,0.515625,8832.0,0.48,900.0
3.0,0.59868485,0.60519594,0.35281473,0.006667317708327124,0.012125386,0.9382242448627949,2.7764032,0.0,-0.063917086,1.1943586,46.251534,2.7858064,-0.052986056,0.1504198,71,2.0081514e-13,12.869376,14.198914,0.009403658,768.0749999992847,0,11057.877028226852,13.0,8064000.0,0.5546875,8960.0,0.52,900.0
3.0,0.60511607,0.6058182,0.35618117,0.006625341611002364,0.011556095,0.9401561953127384,2.785225,0.0,0.07487291,1.218308,45.0293,2.7702818,0.085210696,0.14820127,72,2.0024427e-13,12.518775,12.227096,-0.014943053,763.2393535874724,0,11208.812641620636,13.0,8179200.0,0.5390625,9088.0,0.55,900.0
3.0,0.5847298,0.5880433,0.3523928,0.006669695682731076,0.013145742,0.9406653381884098,2.7996051,0.0,-0.0060223993,1.2245431,46.326126,2.8040295,0.0058987997,0.14323974,73,1.9853489e-13,13.133401,13.659059,0.0044237375,768.34894265062,0,11358.74451971054,13.0,8294400.0,0.53125,9216.0,0.59,900.0
3.0,0.57355833,0.5723347,0.36376825,0.006686547356922327,0.012917995,0.93433877825737,2.8162355,0.0,0.0022840488,1.2330762,49.916355,2.820388,0.013968968,0.14665759,74,1.9665324e-13,13.2785225,13.001451,0.0041525676,770.290255517452,0,11508.298534154892,13.0,8409600.0,0.5390625,9344.0,0.46,900.0
3.0,0.55410135,0.5643245,0.34074253,0.006712481725996898,0.0071179513,0.942856352776289,2.8755138,0.0,0.042308938,1.251179,47.291687,2.8833833,0.048175707,0.1349003,75,1.9797433e-13,13.680114,12.850537,0.007869404,773.2778948348426,0,11657.27473115921,13.0,8524800.0,0.640625,9472.0,0.6,900.0
3.0,0.5844596,0.5937531,0.40615633,0.006642018782350039,0.008423001,0.9415536448359489,2.7976,0.0,0.08827894,1.2639409,44.761806,2.7918491,0.095438,0.14354385,76,2.0566459e-13,13.089239,11.494006,-0.0057504363,765.1605637267245,0,11807.831366539001,13.0,8640000.0,0.4375,9600.0,0.47,900.0
3.0,0.570426,0.57613546,0.33328044,0.0066153848206672505,0.009548796,0.9380855448544025,2.7827094,0.0,0.043577433,1.2150784,47.65124,2.782233,0.051911153,0.14335757,77,2.0121493e-13,13.381761,12.724556,-0.0004764962,762.0923313408673,0,11958.994152545929,13.0,8755200.0,0.5625,9728.0,0.52,900.0
3.0,0.54823595,0.5526633,0.40706718,0.0066254757908650085,0.010100259,0.9360115230083466,2.7662194,0.0,-0.08041835,1.2238129,47.111465,2.7629826,-0.0715419,0.13980141,78,2.0987366e-13,13.184684,13.037643,-0.003236631,763.254811107649,0,12109.92670917511,13.0,8870400.0,0.5703125,9856.0,0.52,900.0
3.0,0.539272,0.5425772,0.36126348,0.006592580807515923,0.0077135307,0.9365967437624931,2.7052202,0.0,-0.011330156,1.2418747,46.702927,2.701308,-0.0048585,0.13662097,79,2.0488376e-13,13.026068,12.4955015,-0.0039119385,759.4653090258344,0,12261.61237359047,13.0,8985600.0,0.5703125,9984.0,0.59,900.0
3.0,0.5385388,0.5434782,0.37353244,0.0065786128213432575,0.0091196485,0.9420631043612957,2.6662757,0.0,0.008906149,1.230523,46.26785,2.6471403,0.016795274,0.13081565,80,1.984396e-13,12.35887,12.006184,-0.019135293,757.8561970187433,0,12413.620103359222,13.0,9100800.0,0.5234375,10112.0,0.46,900.0
3.0,0.53183836,0.53724253,0.29317892,0.006636821657795422,0.008940794,0.9336666837334633,2.7666955,0.0,0.0025311322,1.2177747,52.177406,2.767895,0.010254151,0.13836819,81,2.174603e-13,13.532054,14.00834,0.0011992832,764.5618549780326,0,12564.294635772705,13.0,9216000.0,0.484375,10240.0,0.5,900.0
