#{"env_id": "DeepmindLabNavMazeStatic01-v0", "t_start": 1567762882.3126383}
r,l,t
3.0,225,145.407577
1.0,225,276.724015
3.0,225,408.794583
2.0,225,540.476142
2.0,225,664.586738
3.0,225,797.388422
4.0,225,927.694744
1.0,225,1058.512474
3.0,225,1182.227986
0.0,225,1314.461748
11.0,225,1445.651001
0.0,225,1576.790359
0.0,225,1698.204623
3.0,225,1829.088688
3.0,225,1958.608826
0.0,225,2088.755875
0.0,225,2210.884441
2.0,225,2339.957636
3.0,225,2470.664951
2.0,225,2599.947661
0.0,225,2719.759953
1.0,225,2848.463046
1.0,225,2977.463293
3.0,225,3107.298457
2.0,225,3227.694696
3.0,225,3356.994112
3.0,225,3484.196376
2.0,225,3612.588006
2.0,225,3733.820806
0.0,225,3861.667758
1.0,225,3990.174598
3.0,225,4117.95299
1.0,225,4246.330299
2.0,225,4367.11187
3.0,225,4496.131213
3.0,225,4624.121341
0.0,225,4751.357289
0.0,225,4870.020943
10.0,225,4997.761285
3.0,225,5124.582592
3.0,225,5251.457628
2.0,225,5368.935534
0.0,225,5495.018572
0.0,225,5620.591256
1.0,225,5747.594292
2.0,225,5865.003392
2.0,225,5991.443013
2.0,225,6117.836569
2.0,225,6243.249084
2.0,225,6360.706094
0.0,225,6485.832269
0.0,225,6612.217323
3.0,225,6740.00603
0.0,225,6859.384467
3.0,225,6984.529336
2.0,225,7109.546042
0.0,225,7236.462817
0.0,225,7354.06532
1.0,225,7479.472957
2.0,225,7605.05644
1.0,225,7729.731734
0.0,225,7847.599328
2.0,225,7972.35911
2.0,225,8096.127351
2.0,225,8221.028651
2.0,225,8342.958372
2.0,225,8458.624419
0.0,225,8582.057918
2.0,225,8704.324726
2.0,225,8827.644998
2.0,225,8943.306535
2.0,225,9066.51529
3.0,225,9190.157449
2.0,225,9312.200056
2.0,225,9426.679254
2.0,225,9549.085108
2.0,225,9672.979063
2.0,225,9796.740216
2.0,225,9910.168587
3.0,225,10033.227286
2.0,225,10157.188892
1.0,225,10279.991673
0.0,225,10396.303743
2.0,225,10516.983312
1.0,225,10638.210332
2.0,225,10759.859813
0.0,225,10873.491642
1.0,225,10996.724519
0.0,225,11117.607569
0.0,225,11238.350539
3.0,225,11351.275118
0.0,225,11473.588104
3.0,225,11596.706784
2.0,225,11720.354517
2.0,225,11832.352909
1.0,225,11954.368468
0.0,225,12076.644518
2.0,225,12198.02918
2.0,225,12319.109388
2.0,225,12431.464305
2.0,225,12550.191341
3.0,225,12670.29738
2.0,225,12792.404581
2.0,225,12906.315972
2.0,225,13028.993059
2.0,225,13150.029986
2.0,225,13270.699837
2.0,225,13384.408167
2.0,225,13508.556686
1.0,225,13630.878326
2.0,225,13752.588748
2.0,225,13861.818608
2.0,225,13975.187072
3.0,225,14089.675174
3.0,225,14202.98393
1.0,225,14308.942394
3.0,225,14422.965526
2.0,225,14536.288031
3.0,225,14650.715014
2.0,225,14757.889057
