#{"env_id": "DeepmindLabNavMazeStatic01-v0", "t_start": 1567762882.899055}
r,l,t
2.0,225,144.893578
2.0,225,276.318505
0.0,225,408.508267
2.0,225,540.090266
3.0,225,664.383796
2.0,225,797.180178
2.0,225,927.30534
3.0,225,1058.09569
2.0,225,1181.803573
2.0,225,1314.031306
3.0,225,1445.195683
3.0,225,1576.228981
0.0,225,1698.048662
0.0,225,1828.651175
2.0,225,1958.202966
3.0,225,2088.323854
0.0,225,2210.481475
3.0,225,2339.538854
2.0,225,2470.188082
3.0,225,2599.400147
0.0,225,2719.443414
0.0,225,2848.022024
0.0,225,2976.920729
2.0,225,3106.895627
2.0,225,3227.35502
2.0,225,3356.349787
1.0,225,3483.964571
2.0,225,3612.19579
0.0,225,3733.398309
2.0,225,3861.155663
2.0,225,3989.721249
1.0,225,4117.503578
0.0,225,4245.895124
2.0,225,4366.585994
3.0,225,4495.723718
0.0,225,4623.89682
3.0,225,4750.905993
3.0,225,4869.586997
0.0,225,4997.034139
2.0,225,5124.314962
0.0,225,5251.193503
2.0,225,5368.511303
2.0,225,5494.578197
2.0,225,5620.363092
0.0,225,5747.123218
2.0,225,5864.357035
1.0,225,5991.00277
3.0,225,6117.356184
2.0,225,6242.708368
2.0,225,6360.261491
2.0,225,6485.650648
2.0,225,6611.948193
2.0,225,6739.528524
1.0,225,6858.946058
1.0,225,6984.058707
0.0,225,7109.137979
2.0,225,7236.020093
2.0,225,7353.551668
2.0,225,7479.019938
12.0,225,7604.625074
2.0,225,7729.315079
2.0,225,7847.240085
0.0,225,7971.979723
2.0,225,8095.693007
2.0,225,8220.273163
2.0,225,8342.529372
2.0,225,8457.925934
0.0,225,8581.619774
2.0,225,8703.883692
2.0,225,8827.155449
4.0,225,8942.878195
2.0,225,9066.207074
3.0,225,9189.712328
3.0,225,9311.74776
0.0,225,9426.280522
2.0,225,9548.648544
3.0,225,9672.547291
2.0,225,9796.324689
0.0,225,9909.95598
0.0,225,10032.774609
0.0,225,10156.773702
0.0,225,10279.237626
0.0,225,10395.854486
0.0,225,10516.550905
0.0,225,10637.764901
3.0,225,10759.506766
2.0,225,10873.061043
0.0,225,10996.472679
1.0,225,11117.181904
0.0,225,11237.867046
1.0,225,11350.836419
3.0,225,11472.940982
2.0,225,11596.48604
2.0,225,11719.915233
3.0,225,11831.812499
2.0,225,11953.946525
1.0,225,12076.098082
3.0,225,12197.600042
0.0,225,12318.672086
3.0,225,12430.997689
0.0,225,12549.74725
2.0,225,12669.876044
2.0,225,12791.954583
2.0,225,12905.888244
3.0,225,13028.347978
2.0,225,13149.46387
2.0,225,13270.428887
2.0,225,13383.969919
2.0,225,13508.109715
0.0,225,13630.616462
2.0,225,13751.740243
3.0,225,13861.557182
2.0,225,13974.714893
0.0,225,14089.2408
3.0,225,14202.52122
0.0,225,14308.205559
3.0,225,14422.519358
0.0,225,14535.977306
2.0,225,14650.269404
3.0,225,14757.443211
2.0,225,14870.586201
2.0,225,14983.172926
3.0,225,15097.409702
1.0,225,15203.446773
3.0,225,15318.253371
11.0,225,15432.053388
2.0,225,15547.003996
2.0,225,15653.508825
2.0,225,15768.612941
0.0,225,15882.000631
2.0,225,15995.388328
2.0,225,16109.928583
2.0,225,16215.705518
2.0,225,16329.788501
1.0,225,16443.708926
2.0,225,16559.042534
2.0,225,16665.281619
0.0,225,16779.229832
3.0,225,16892.61882
3.0,225,17006.30221
2.0,225,17112.367398
2.0,225,17225.127837
2.0,225,17339.474824
2.0,225,17452.63664
13.0,225,17558.696238
2.0,225,17674.537096
2.0,225,17788.733618
0.0,225,17903.423425
2.0,225,18008.491476
0.0,225,18123.259057
2.0,225,18238.069202
3.0,225,18352.077918
1.0,225,18457.103608
0.0,225,18572.072772
3.0,225,18685.331265
3.0,225,18799.243609
0.0,225,18904.084923
2.0,225,19016.71645
2.0,225,19130.948227
3.0,225,19244.462346
3.0,225,19357.90573
2.0,225,19463.746199
0.0,225,19576.58659
2.0,225,19692.040313
3.0,225,19806.258603
2.0,225,19911.468708
2.0,225,20026.187639
2.0,225,20140.749161
2.0,225,20254.152552
0.0,225,20362.337709
2.0,225,20477.33654
2.0,225,20592.145486
2.0,225,20707.369961
2.0,225,20813.836144
2.0,225,20930.558554
2.0,225,21045.778044
2.0,225,21162.96988
2.0,225,21270.762229
0.0,225,21384.926557
1.0,225,21499.848759
2.0,225,21615.247466
0.0,225,21722.669343
2.0,225,21836.418651
3.0,225,21951.607458
2.0,225,22066.502177
2.0,225,22174.216877
3.0,225,22288.058131
1.0,225,22402.106821
0.0,225,22516.146086
12.0,225,22621.643548
12.0,225,22737.269078
3.0,225,22851.639388
2.0,225,22966.025187
2.0,225,23080.830113
0.0,225,23188.118802
2.0,225,23303.352249
2.0,225,23419.448708
2.0,225,23535.812008
2.0,225,23642.408715
3.0,225,23756.74719
3.0,225,23870.821875
0.0,225,23986.437196
2.0,225,24092.003594
2.0,225,24205.725119
2.0,225,24319.718039
2.0,225,24433.717211
0.0,225,24539.824522
0.0,225,24653.836978
2.0,225,24768.626063
2.0,225,24884.291968
0.0,225,24990.092428
2.0,225,25106.333476
2.0,225,25222.229699
2.0,225,25338.053617
3.0,225,25444.0228
2.0,225,25559.82207
2.0,225,25676.189188
0.0,225,25791.832318
0.0,225,25898.484604
0.0,225,26013.073877
3.0,225,26128.363895
0.0,225,26243.446974
2.0,225,26351.585793
2.0,225,26466.156855
2.0,225,26582.297048
2.0,225,26697.778781
3.0,225,26813.50837
2.0,225,26920.983094
2.0,225,27036.241317
2.0,225,27151.799435
0.0,225,27267.372206
2.0,225,27375.009434
2.0,225,27491.179621
2.0,225,27606.47986
2.0,225,27721.514901
3.0,225,27828.658897
1.0,225,27943.365095
3.0,225,28059.320662
1.0,225,28175.269078
2.0,225,28281.900303
2.0,225,28396.747035
0.0,225,28511.995293
0.0,225,28626.624313
2.0,225,28735.016612
2.0,225,28849.751787
2.0,225,28964.486187
3.0,225,29079.264184
2.0,225,29186.229664
2.0,225,29300.627875
3.0,225,29415.566791
2.0,225,29530.001485
2.0,225,29636.619302
2.0,225,29752.183176
2.0,225,29866.839356
3.0,225,29983.047561
3.0,225,30089.291511
2.0,225,30206.073594
2.0,225,30322.06793
0.0,225,30437.253842
2.0,225,30552.527657
2.0,225,30659.640703
2.0,225,30774.707081
2.0,225,30889.61589
2.0,225,31007.214126
3.0,225,31116.537202
3.0,225,31232.813653
2.0,225,31348.633866
2.0,225,31464.677944
2.0,225,31573.50318
2.0,225,31691.182169
2.0,225,31807.508077
2.0,225,31923.890412
2.0,225,32031.935235
2.0,225,32147.81849
2.0,225,32263.489806
2.0,225,32380.767509
0.0,225,32488.507448
2.0,225,32604.324429
2.0,225,32721.246122
0.0,225,32838.184965
2.0,225,32947.399259
0.0,225,33062.927282
4.0,225,33177.134671
2.0,225,33292.3556
2.0,225,33398.980808
2.0,225,33514.847372
2.0,225,33630.919506
2.0,225,33746.005087
2.0,225,33860.862924
2.0,225,33968.243291
2.0,225,34083.302133
2.0,225,34200.071829
3.0,225,34316.478448
2.0,225,34422.862516
2.0,225,34538.575657
3.0,225,34654.381557
2.0,225,34769.129825
2.0,225,34875.234973
2.0,225,34991.169345
2.0,225,35106.037188
2.0,225,35221.068535
2.0,225,35327.578775
2.0,225,35442.61147
2.0,225,35558.74898
2.0,225,35674.409573
2.0,225,35781.499077
2.0,225,35895.811606
3.0,225,36010.831964
2.0,225,36124.859855
2.0,225,36232.58162
2.0,225,36347.698373
