opt_aux,opt_ent,vpredmean,n_updates,opt_clipfrac,opt_tot,retstd,rew_mean,tps,total_secs,vpredstd,opt_pg,opt_vf,opt_feat_var,ups,rank,recent_best_ext_ret,ev,advmean,retmean,opt_dyn_loss,opt_approxkl,advstd,epcount,tcount,eprew,eplen,eprew_recent,best_ext_ret
0.0,0.54174113,3.6267009,584,0.0,-0.060356993,0.14195666,0.009486232,254.1000014324664,38747.08003735542,0.14493987,-0.0654605,0.0056452504,0.025036823,0.01550903329055581,0,4.0,0.44806838035583496,5.5896293e-05,3.6267567,0.009638058,4.615033e-13,0.10546259,42496.0,9561600.0,1.97,225.0,1.9765625,23.0
0.0,0.62821674,3.6402888,585,0.0,-0.012321101,0.13084947,0.009654716,257.3154425047144,38810.75285792351,0.13368858,-0.0153451115,0.003652227,0.023303714,0.015705288238813134,0,,0.5871320068836212,0.012481546,3.6527705,0.009633628,4.115928e-13,0.08407707,42496.0,9561600.0,1.97,225.0,1.9765625,23.0
0.0,0.5296446,3.633092,586,0.0,-0.06762262,0.15689597,0.009294987,252.5605764778746,38875.624423503876,0.15594871,-0.07214882,0.0050558555,0.025269922,0.015415074247917151,0,14.0,0.5507132112979889,-0.0075467573,3.625545,0.009508705,4.0400403e-13,0.10516557,42624.0,9590400.0,1.9,225.0,2.0,23.0
0.0,0.6087338,3.6577902,587,0.0,-0.018459724,0.13987477,0.009654511,258.01652109785846,38939.12423324585,0.13810435,-0.021575175,0.0037241834,0.023783179,0.015748078680289213,0,,0.6137866079807281,0.013660749,3.6714509,0.009627389,4.3509554e-13,0.08692668,42624.0,9590400.0,1.9,225.0,2.0,23.0
0.0,0.5627344,3.644423,588,0.0,-0.048516702,0.15349178,0.009417713,254.45606519682067,39003.51255893707,0.15328619,-0.053473577,0.005519609,0.02235347,0.015530765698048137,0,4.0,0.524128258228302,0.004175608,3.6485987,0.009614187,4.0522671e-13,0.10588394,42752.0,9619200.0,1.82,225.0,1.8984375,23.0
0.0,0.56429034,3.6748948,589,0.0,0.054444727,0.14584236,0.009688937,254.17071158898446,39067.973172426224,0.14851223,0.04834393,0.0066650882,0.026151873,0.015513349096007352,0,13.0,0.45223987102508545,0.0034481874,3.678343,0.009859655,4.1554406e-13,0.107939124,42880.0,9648000.0,2.24,225.0,2.1484375,23.0
0.0,0.5740666,3.692745,590,0.0,-0.007915025,0.14591359,0.009467987,251.62397742698968,39133.08620405197,0.14647722,-0.011012565,0.003671607,0.023884399,0.015357908778502788,0,,0.5902248620986938,0.005069563,3.6978145,0.009356855,4.4357898e-13,0.09340466,42880.0,9648000.0,2.24,225.0,2.1484375,23.0
0.0,0.56026995,3.681627,591,0.0,0.039155703,0.15960425,0.009403542,255.296235350089,39197.26263022423,0.1596723,0.034507595,0.0052083754,0.02259409,0.015582045614629456,0,12.0,0.5330093204975128,-0.011215639,3.6704113,0.009327298,4.9815696e-13,0.1090683,43008.0,9676800.0,2.18,225.0,2.1875,23.0
0.0,0.6173504,3.6677513,592,0.0,-0.0039201714,0.1432215,0.009576036,258.95543439130785,39260.53220415115,0.1431212,-0.0065269745,0.0032241533,0.021676606,0.015805385399860098,0,,0.6457374393939972,0.008508792,3.67626,0.009492491,4.1233813e-13,0.08524538,43008.0,9676800.0,2.18,225.0,2.1875,23.0
0.0,0.55490816,3.638929,593,0.0,0.012905613,0.15264829,0.009418855,255.4893657262756,39324.66011786461,0.15595853,0.008184159,0.005276362,0.023531375,0.015593833357316626,0,4.0,0.4740249514579773,0.006300712,3.6452298,0.009493286,4.232116e-13,0.11070685,43136.0,9705600.0,1.85,225.0,1.84375,23.0
