#{"env_id": "DeepmindLabNavMazeStatic01-v0", "t_start": 1567762883.4543483}
r,l,t
0.0,225,144.563176
0.0,225,275.906939
12.0,225,407.820955
3.0,225,539.678129
3.0,225,663.656344
0.0,225,796.542627
3.0,225,926.626765
3.0,225,1057.682273
2.0,225,1181.415022
2.0,225,1313.619045
1.0,225,1444.849572
0.0,225,1575.581744
0.0,225,1697.342015
11.0,225,1828.309844
0.0,225,1957.814482
3.0,225,2087.93892
3.0,225,2210.040592
0.0,225,2339.119211
1.0,225,2469.615248
2.0,225,2598.749012
3.0,225,2718.887048
3.0,225,2847.630992
1.0,225,2976.118367
0.0,225,3106.462738
3.0,225,3226.870085
0.0,225,3356.053481
2.0,225,3483.3038
3.0,225,3611.779834
3.0,225,3732.98386
0.0,225,3860.658016
3.0,225,3989.312538
1.0,225,4117.086669
1.0,225,4245.583757
10.0,225,4366.213038
1.0,225,4495.312154
2.0,225,4623.282313
2.0,225,4750.606163
0.0,225,4869.164659
0.0,225,4996.253243
2.0,225,5123.729407
3.0,225,5250.561305
2.0,225,5368.14699
1.0,225,5494.23258
2.0,225,5619.799272
1.0,225,5746.73923
3.0,225,5863.978808
2.0,225,5990.597372
1.0,225,6116.932465
2.0,225,6242.34759
3.0,225,6359.848975
2.0,225,6484.98793
2.0,225,6611.437716
2.0,225,6739.090201
3.0,225,6858.545021
3.0,225,6983.606807
2.0,225,7108.708774
0.0,225,7235.620805
2.0,225,7353.183013
2.0,225,7478.709495
3.0,225,7604.219025
2.0,225,7728.972535
2.0,225,7846.764425
0.0,225,7971.488668
3.0,225,8095.28844
2.0,225,8220.034914
2.0,225,8342.114855
2.0,225,8457.570511
3.0,225,8581.272192
2.0,225,8703.477412
1.0,225,8826.706862
2.0,225,8942.471552
4.0,225,9065.629146
0.0,225,9189.342822
2.0,225,9311.290277
3.0,225,9425.770395
1.0,225,9548.173976
2.0,225,9672.131539
2.0,225,9795.902633
2.0,225,9909.375024
0.0,225,10032.343351
4.0,225,10156.322339
2.0,225,10279.003927
2.0,225,10395.458748
2.0,225,10516.224843
0.0,225,10637.321024
3.0,225,10758.980035
2.0,225,10872.635576
3.0,225,10995.696273
2.0,225,11116.741835
0.0,225,11237.471726
1.0,225,11350.424887
3.0,225,11472.519485
2.0,225,11595.834431
3.0,225,11719.514832
2.0,225,11831.509251
2.0,225,11953.527942
3.0,225,12075.695665
2.0,225,12197.176836
0.0,225,12318.380163
0.0,225,12430.406295
3.0,225,12549.343836
0.0,225,12669.405064
2.0,225,12791.548126
2.0,225,12905.46893
2.0,225,13027.838608
0.0,225,13149.146073
0.0,225,13269.813584
0.0,225,13383.563862
3.0,225,13507.683907
2.0,225,13630.128688
0.0,225,13751.266709
3.0,225,13860.924651
2.0,225,13974.134846
2.0,225,14088.811487
2.0,225,14202.167657
3.0,225,14307.716551
2.0,225,14422.051367
0.0,225,14535.428746
2.0,225,14649.850157
2.0,225,14757.008653
2.0,225,14870.167158
2.0,225,14982.794871
2.0,225,15096.93323
3.0,225,15202.91854
2.0,225,15317.818271
2.0,225,15431.613747
2.0,225,15546.435347
0.0,225,15653.073142
2.0,225,15768.074731
3.0,225,15881.631585
2.0,225,15994.741397
2.0,225,16109.535151
2.0,225,16215.306727
2.0,225,16329.358256
2.0,225,16443.279307
3.0,225,16558.507952
2.0,225,16664.750406
2.0,225,16778.80995
2.0,225,16892.20153
2.0,225,17005.916889
2.0,225,17111.943729
3.0,225,17224.687021
0.0,225,17339.041545
2.0,225,17452.18618
2.0,225,17558.265808
2.0,225,17674.056945
2.0,225,17788.11689
2.0,225,17903.015874
2.0,225,18008.039742
2.0,225,18122.72025
2.0,225,18237.730931
2.0,225,18351.643347
2.0,225,18456.514621
2.0,225,18571.713649
2.0,225,18684.905275
2.0,225,18798.805579
2.0,225,18903.756591
2.0,225,19016.289793
3.0,225,19130.527648
1.0,225,19244.012572
2.0,225,19357.494069
3.0,225,19463.300252
2.0,225,19576.154763
0.0,225,19691.360951
3.0,225,19805.83039
3.0,225,19911.041767
2.0,225,20025.880879
2.0,225,20140.337687
2.0,225,20253.725838
0.0,225,20361.917935
2.0,225,20476.872709
2.0,225,20591.715784
2.0,225,20706.943995
2.0,225,20813.502276
1.0,225,20930.170683
2.0,225,21045.05276
0.0,225,21162.547815
2.0,225,21270.349937
3.0,225,21384.504927
4.0,225,21499.414347
2.0,225,21614.694237
3.0,225,21722.288072
2.0,225,21835.972452
2.0,225,21951.078119
1.0,225,22066.05292
2.0,225,22173.787397
3.0,225,22287.654195
3.0,225,22401.747137
0.0,225,22515.701827
2.0,225,22621.223203
2.0,225,22736.839674
0.0,225,22851.082019
2.0,225,22965.583957
2.0,225,23080.414421
3.0,225,23187.713097
2.0,225,23302.916645
0.0,225,23419.019818
2.0,225,23535.391118
3.0,225,23641.979313
0.0,225,23756.311767
2.0,225,23870.431639
2.0,225,23986.045841
3.0,225,24091.570044
2.0,225,24205.480951
1.0,225,24319.288854
2.0,225,24433.038737
2.0,225,24539.136203
2.0,225,24653.408853
2.0,225,24768.243514
3.0,225,24883.908367
2.0,225,24989.688159
2.0,225,25105.812729
2.0,225,25221.778812
2.0,225,25337.666697
12.0,225,25443.482166
2.0,225,25559.565885
3.0,225,25675.66685
2.0,225,25791.408323
3.0,225,25898.006044
2.0,225,26012.470937
2.0,225,26127.944352
2.0,225,26243.005604
3.0,225,26351.176124
2.0,225,26465.740237
1.0,225,26581.995753
2.0,225,26697.439854
0.0,225,26812.913588
0.0,225,26920.652539
2.0,225,27035.891545
2.0,225,27151.327634
2.0,225,27266.775784
3.0,225,27374.610667
2.0,225,27490.695497
2.0,225,27606.060803
0.0,225,27721.120922
2.0,225,27828.040478
2.0,225,27942.954061
3.0,225,28058.863118
2.0,225,28174.634614
0.0,225,28281.463121
0.0,225,28396.320094
2.0,225,28511.568193
2.0,225,28626.197484
2.0,225,28734.433936
2.0,225,28849.326015
1.0,225,28963.872503
2.0,225,29078.816547
0.0,225,29185.799482
2.0,225,29300.256204
3.0,225,29414.91394
0.0,225,29529.673024
2.0,225,29636.197445
2.0,225,29751.706435
2.0,225,29866.356834
2.0,225,29982.591429
2.0,225,30088.885705
2.0,225,30205.461533
2.0,225,30321.546616
0.0,225,30436.884886
0.0,225,30552.069559
0.0,225,30659.123896
0.0,225,30774.371639
0.0,225,30888.978579
2.0,225,31006.834041
1.0,225,31116.10833
0.0,225,31232.420593
3.0,225,31348.185497
2.0,225,31463.915406
2.0,225,31573.060539
2.0,225,31690.772888
2.0,225,31807.185337
3.0,225,31923.490176
4.0,225,32031.492035
2.0,225,32147.393353
3.0,225,32263.023955
2.0,225,32380.32261
2.0,225,32488.043371
1.0,225,32603.881369
2.0,225,32720.738319
2.0,225,32837.760889
2.0,225,32946.952373
0.0,225,33062.524561
2.0,225,33176.702986
2.0,225,33291.935121
3.0,225,33398.404142
0.0,225,33514.207729
2.0,225,33630.508523
3.0,225,33745.598105
2.0,225,33860.451049
3.0,225,33967.831674
2.0,225,34082.873226
0.0,225,34199.744402
3.0,225,34316.067364
0.0,225,34422.46011
3.0,225,34538.086
2.0,225,34653.958592
2.0,225,34768.81466
3.0,225,34874.834892
0.0,225,34990.718676
2.0,225,35105.61168
12.0,225,35220.35508
2.0,225,35327.110114
2.0,225,35442.232275
2.0,225,35558.321774
3.0,225,35674.001099
0.0,225,35781.067871
2.0,225,35895.389333
2.0,225,36010.052923
2.0,225,36124.409505
2.0,225,36232.147579
2.0,225,36347.284908
2.0,225,36462.474557
2.0,225,36577.651145
11.0,225,36684.697982
3.0,225,36800.682595
2.0,225,36915.391356
2.0,225,37031.129311
2.0,225,37137.009958
1.0,225,37251.530143
3.0,225,37366.225408
2.0,225,37479.189043
2.0,225,37593.749779
0.0,225,37700.161942
2.0,225,37814.026865
3.0,225,37929.181962
2.0,225,38044.774151
2.0,225,38151.216411
3.0,225,38266.181558
2.0,225,38380.738554
0.0,225,38495.264385
2.0,225,38601.77112
2.0,225,38715.919991
2.0,225,38830.356145
3.0,225,38945.618937
2.0,225,39052.142607
2.0,225,39167.877275
2.0,225,39281.54154
3.0,225,39396.643685
3.0,225,39502.457706
2.0,225,39617.720047
3.0,225,39733.249492
2.0,225,39848.35372
2.0,225,39954.501689
3.0,225,40070.942545
2.0,225,40186.663116
3.0,225,40302.043646
2.0,225,40408.040684
3.0,225,40523.739317
3.0,225,40638.65359
3.0,225,40755.513504
0.0,225,40863.574694
2.0,225,40977.964108
2.0,225,41093.833176
2.0,225,41210.723002
3.0,225,41326.587321
2.0,225,41435.898283
2.0,225,41552.68472
2.0,225,41668.51668
2.0,225,41784.242683
2.0,225,41893.220743
0.0,225,42010.348926
2.0,225,42128.449996
3.0,225,42244.967642
0.0,225,42352.771981
1.0,225,42468.798623
0.0,225,42584.218199
2.0,225,42699.697724
1.0,225,42805.958206
2.0,225,42920.324703
2.0,225,43033.777284
2.0,225,43148.264554
0.0,225,43254.513897
2.0,225,43368.441957
2.0,225,43481.73043
2.0,225,43595.891447
3.0,225,43703.459625
2.0,225,43819.681356
0.0,225,43933.469093
2.0,225,44047.294254
2.0,225,44153.434195
2.0,225,44268.183854
2.0,225,44384.485741
2.0,225,44500.272532
2.0,225,44606.411508
4.0,225,44721.716907
2.0,225,44837.669405
3.0,225,44954.025633
2.0,225,45069.91744
2.0,225,45178.269122
2.0,225,45293.617074
2.0,225,45408.019402
2.0,225,45524.720416
3.0,225,45631.47191
3.0,225,45748.113778
2.0,225,45863.669368
2.0,225,45978.960684
0.0,225,46086.784128
4.0,225,46202.048372
2.0,225,46315.973785
2.0,225,46429.356716
2.0,225,46535.488348
2.0,225,46650.667206
2.0,225,46765.962795
2.0,225,46880.899715
0.0,225,46986.390709
2.0,225,47101.930017
2.0,225,47217.462543
2.0,225,47333.938112
4.0,225,47440.570353
3.0,225,47555.319132
2.0,225,47670.314224
3.0,225,47786.253734
0.0,225,47893.047942
2.0,225,48008.602144
4.0,225,48124.406679
2.0,225,48239.625751
2.0,225,48354.623698
2.0,225,48461.405038
0.0,225,48575.19722
2.0,225,48691.148701
3.0,225,48805.573655
2.0,225,48911.139373
3.0,225,49026.593543
2.0,225,49142.365979
2.0,225,49255.818316
2.0,225,49361.468463
0.0,225,49476.352839
2.0,225,49592.862117
1.0,225,49708.466471
2.0,225,49816.790236
2.0,225,49932.823638
2.0,225,50049.199612
2.0,225,50164.36294
3.0,225,50273.306443
4.0,225,50390.136326
0.0,225,50505.811258
2.0,225,50622.876892
4.0,225,50730.254503
2.0,225,50847.914181
2.0,225,50965.250903
4.0,225,51081.563972
3.0,225,51189.163895
3.0,225,51305.253391
2.0,225,51422.162692
2.0,225,51540.750661
2.0,225,51647.105355
2.0,225,51762.827455
2.0,225,51878.574173
1.0,225,51995.129665
4.0,225,52111.463451
0.0,225,52219.665639
3.0,225,52333.824278
0.0,225,52448.082669
2.0,225,52563.523532
0.0,225,52671.362886
2.0,225,52786.083408
3.0,225,52901.063623
2.0,225,53016.35787
2.0,225,53122.483446
3.0,225,53239.868235
2.0,225,53354.745842
2.0,225,53469.712274
0.0,225,53576.864082
3.0,225,53692.020888
2.0,225,53807.535467
2.0,225,53922.569456
1.0,225,54027.714684
2.0,225,54141.426452
2.0,225,54254.512278
2.0,225,54368.463139
4.0,225,54475.846321
2.0,225,54590.288978
2.0,225,54704.294566
4.0,225,54819.147541
2.0,225,54925.728104
0.0,225,55041.060279
0.0,225,55155.863634
3.0,225,55271.277004
2.0,225,55378.308564
2.0,225,55493.674502
2.0,225,55609.629889
2.0,225,55725.565853
2.0,225,55840.294429
2.0,225,55946.927665
2.0,225,56062.100233
2.0,225,56176.598495
2.0,225,56292.341522
0.0,225,56400.254008
2.0,225,56516.036737
2.0,225,56631.243345
12.0,225,56746.538167
3.0,225,56853.920003
2.0,225,56969.895697
2.0,225,57085.586905
2.0,225,57201.132872
3.0,225,57308.960313
3.0,225,57425.384226
3.0,225,57541.413452
1.0,225,57657.16602
2.0,225,57763.843162
1.0,225,57879.981928
2.0,225,57996.688783
2.0,225,58112.582912
2.0,225,58219.400105
2.0,225,58335.195327
3.0,225,58450.540141
0.0,225,58567.827037
2.0,225,58676.221338
12.0,225,58792.071382
2.0,225,58907.886756
2.0,225,59023.758309
2.0,225,59132.350317
2.0,225,59248.608046
1.0,225,59363.927505
2.0,225,59479.701727
2.0,225,59595.55011
2.0,225,59703.688392
3.0,225,59820.986391
2.0,225,59937.937924
2.0,225,60053.702205
2.0,225,60161.728415
3.0,225,60279.239188
2.0,225,60397.812028
2.0,225,60515.463564
2.0,225,60624.473922
2.0,225,60742.232343
3.0,225,60860.306753
2.0,225,60978.996682
3.0,225,61087.911304
2.0,225,61205.164146
2.0,225,61321.959551
0.0,225,61438.996152
2.0,225,61549.255015
2.0,225,61666.009348
3.0,225,61782.686244
1.0,225,61898.639031
2.0,225,62006.227129
2.0,225,62124.025072
2.0,225,62242.005159
2.0,225,62359.066589
4.0,225,62466.626481
2.0,225,62582.520356
